date,CG_1,CG_2,TT_1,TT_2,TC_1_Avg,label
2022-11-01 0:00,3.346,-0.052,-0.025,-0.508,13.06,0
2022-11-01 0:10,3.348,-0.055,-0.025,-0.508,13.07,0
2022-11-01 0:20,3.351,-0.057,-0.026,-0.508,13.1,0
2022-11-01 0:30,3.354,-0.059,-0.026,-0.508,13.13,0
2022-11-01 0:40,3.357,-0.061,-0.026,-0.508,13.16,0
2022-11-01 0:50,3.36,-0.063,-0.026,-0.509,13.18,0
2022-11-01 1:00,3.362,-0.065,-0.026,-0.509,13.18,0
2022-11-01 1:10,3.365,-0.068,-0.027,-0.508,13.19,0
2022-11-01 1:20,3.369,-0.07,-0.027,-0.509,13.18,0
2022-11-01 1:30,3.372,-0.072,-0.027,-0.509,13.16,0
2022-11-01 1:40,3.376,-0.074,-0.027,-0.509,13.14,0
2022-11-01 1:50,3.38,-0.076,-0.027,-0.509,13.1,0
2022-11-01 2:00,3.384,-0.079,-0.027,-0.509,13.06,0
2022-11-01 2:10,3.388,-0.081,-0.028,-0.509,13.06,0
2022-11-01 2:20,3.393,-0.084,-0.028,-0.509,12.98,0
2022-11-01 2:30,3.397,-0.086,-0.028,-0.509,12.92,0
2022-11-01 2:40,3.402,-0.089,-0.028,-0.509,12.86,0
2022-11-01 2:50,3.406,-0.09,-0.028,-0.509,12.81,0
2022-11-01 3:00,3.411,-0.092,-0.028,-0.509,12.79,0
2022-11-01 3:10,3.415,-0.094,-0.029,-0.509,12.78,0
2022-11-01 3:20,3.419,-0.096,-0.029,-0.509,12.78,0
2022-11-01 3:30,3.423,-0.098,-0.029,-0.509,12.76,0
2022-11-01 3:40,3.428,-0.1,-0.029,-0.509,12.72,0
2022-11-01 3:50,3.431,-0.101,-0.029,-0.509,12.74,0
2022-11-01 4:00,3.435,-0.102,-0.029,-0.509,12.74,0
2022-11-01 4:10,3.441,-0.104,-0.029,-0.509,12.69,0
2022-11-01 4:20,3.446,-0.106,-0.029,-0.509,12.6,0
2022-11-01 4:30,3.453,-0.108,-0.03,-0.509,12.53,0
2022-11-01 4:40,3.458,-0.109,-0.029,-0.509,12.47,0
2022-11-01 4:50,3.464,-0.111,-0.03,-0.509,12.4,0
2022-11-01 5:00,3.469,-0.111,-0.03,-0.509,12.4,0
2022-11-01 5:10,3.473,-0.112,-0.03,-0.509,12.38,0
2022-11-01 5:20,3.479,-0.113,-0.03,-0.509,12.34,0
2022-11-01 5:30,3.483,-0.114,-0.03,-0.509,12.34,0
2022-11-01 5:40,3.487,-0.115,-0.03,-0.509,12.37,0
2022-11-01 5:50,3.492,-0.115,-0.03,-0.509,12.34,0
2022-11-01 6:00,3.496,-0.116,-0.03,-0.509,12.31,0
2022-11-01 6:10,3.501,-0.116,-0.03,-0.509,12.3,0
2022-11-01 6:20,3.505,-0.117,-0.03,-0.509,12.31,0
2022-11-01 6:30,3.509,-0.117,-0.03,-0.509,12.3,0
