,CG_1,CG_2,TT_1,TT_2,TC_1_Avg,date,label
0,3.346,-0.052,-0.025,-0.508,13.06,2022-11-01 00:00:00,0.0
1,3.348,-0.055,-0.025,-0.508,13.07,2022-11-01 00:10:00,0.0
2,3.351,-0.057,-0.026,-0.508,13.1,2022-11-01 00:20:00,0.0
3,3.354,-0.059,-0.026,-0.508,13.13,2022-11-01 00:30:00,0.0
4,3.357,-0.061,-0.026,-0.508,13.16,2022-11-01 00:40:00,0.0
5,3.36,-0.063,-0.026,-0.509,13.18,2022-11-01 00:50:00,0.0
6,3.362,-0.065,-0.026,-0.509,13.18,2022-11-01 01:00:00,0.0
7,3.365,-0.068,-0.027,-0.508,13.19,2022-11-01 01:10:00,0.0
8,3.369,-0.07,-0.027,-0.509,13.18,2022-11-01 01:20:00,0.0
9,3.372,-0.072,-0.027,-0.509,13.16,2022-11-01 01:30:00,0.0
10,3.376,-0.074,-0.027,-0.509,13.14,2022-11-01 01:40:00,0.0
11,3.38,-0.076,-0.027,-0.509,13.1,2022-11-01 01:50:00,0.0
12,3.384,-0.079,-0.027,-0.509,13.06,2022-11-01 02:00:00,0.0
13,3.388,-0.081,-0.028,-0.509,13.06,2022-11-01 02:10:00,0.0
14,3.393,-0.084,-0.028,-0.509,12.98,2022-11-01 02:20:00,0.0
15,3.397,-0.086,-0.028,-0.509,12.92,2022-11-01 02:30:00,0.0
16,3.402,-0.089,-0.028,-0.509,12.86,2022-11-01 02:40:00,0.0
17,3.406,-0.09,-0.028,-0.509,12.81,2022-11-01 02:50:00,0.0
18,3.411,-0.092,-0.028,-0.509,12.79,2022-11-01 03:00:00,0.0
19,3.415,-0.094,-0.029,-0.509,12.78,2022-11-01 03:10:00,0.0
20,3.419,-0.096,-0.029,-0.509,12.78,2022-11-01 03:20:00,0.0
21,3.423,-0.098,-0.029,-0.509,12.76,2022-11-01 03:30:00,0.0
22,3.428,-0.1,-0.029,-0.509,12.72,2022-11-01 03:40:00,0.0
23,3.431,-0.101,-0.029,-0.509,12.74,2022-11-01 03:50:00,0.0
24,3.435,-0.102,-0.029,-0.509,12.74,2022-11-01 04:00:00,0.0
25,3.441,-0.104,-0.029,-0.509,12.69,2022-11-01 04:10:00,0.0
26,3.446,-0.106,-0.029,-0.509,12.6,2022-11-01 04:20:00,0.0
27,3.453,-0.108,-0.03,-0.509,12.53,2022-11-01 04:30:00,0.0
28,3.458,-0.109,-0.029,-0.509,12.47,2022-11-01 04:40:00,0.0
29,3.464,-0.111,-0.03,-0.509,12.4,2022-11-01 04:50:00,0.0
30,3.469,-0.111,-0.03,-0.509,12.4,2022-11-01 05:00:00,0.0
31,3.473,-0.112,-0.03,-0.509,12.38,2022-11-01 05:10:00,0.0
32,3.479,-0.113,-0.03,-0.509,12.34,2022-11-01 05:20:00,0.0
33,3.483,-0.114,-0.03,-0.509,12.34,2022-11-01 05:30:00,0.0
34,3.487,-0.115,-0.03,-0.509,12.37,2022-11-01 05:40:00,0.0
35,3.492,-0.115,-0.03,-0.509,12.34,2022-11-01 05:50:00,0.0
36,3.496,-0.116,-0.03,-0.509,12.31,2022-11-01 06:00:00,0.0
37,3.501,-0.116,-0.03,-0.509,12.3,2022-11-01 06:10:00,0.0
38,3.505,-0.117,-0.03,-0.509,12.31,2022-11-01 06:20:00,0.0
39,3.509,-0.117,-0.03,-0.509,12.3,2022-11-01 06:30:00,0.0
40,3.514,-0.117,-0.03,-0.509,12.26,2022-11-01 06:40:00,0.0
41,3.518,-0.118,-0.03,-0.509,12.24,2022-11-01 06:50:00,0.0
42,3.522,-0.118,-0.03,-0.509,12.28,2022-11-01 07:00:00,0.0
43,3.526,-0.118,-0.03,-0.509,12.24,2022-11-01 07:10:00,0.0
44,3.529,-0.118,-0.03,-0.509,12.25,2022-11-01 07:20:00,0.0
45,3.531,-0.118,-0.03,-0.51,12.34,2022-11-01 07:30:00,0.0
46,3.533,-0.118,-0.03,-0.51,12.43,2022-11-01 07:40:00,0.0
47,3.534,-0.117,-0.03,-0.51,12.51,2022-11-01 07:50:00,0.0
48,3.535,-0.116,-0.03,-0.51,12.59,2022-11-01 08:00:00,0.0
49,3.535,-0.115,-0.03,-0.511,12.65,2022-11-01 08:10:00,0.0
50,3.537,-0.115,-0.03,-0.511,12.77,2022-11-01 08:20:00,0.0
51,3.535,-0.114,-0.03,-0.512,12.95,2022-11-01 08:30:00,0.0
52,3.532,-0.112,-0.03,-0.513,13.23,2022-11-01 08:40:00,0.0
53,3.527,-0.111,-0.03,-0.514,13.36,2022-11-01 08:50:00,0.0
54,3.525,-0.109,-0.03,-0.514,13.46,2022-11-01 09:00:00,0.0
55,3.523,-0.108,-0.03,-0.515,13.57,2022-11-01 09:10:00,0.0
56,3.52,-0.108,-0.029,-0.515,13.67,2022-11-01 09:20:00,0.0
57,3.516,-0.106,-0.03,-0.515,13.81,2022-11-01 09:30:00,0.0
58,3.512,-0.104,-0.029,-0.516,13.95,2022-11-01 09:40:00,0.0
59,3.506,-0.103,-0.029,-0.517,14.14,2022-11-01 09:50:00,0.0
60,3.501,-0.101,-0.029,-0.518,14.28,2022-11-01 10:00:00,0.0
61,3.495,-0.099,-0.029,-0.519,14.44,2022-11-01 10:10:00,0.0
62,3.488,-0.097,-0.028,-0.519,14.62,2022-11-01 10:20:00,0.0
63,3.48,-0.094,-0.028,-0.52,14.74,2022-11-01 10:30:00,0.0
64,3.471,-0.092,-0.028,-0.521,14.92,2022-11-01 10:40:00,0.0
65,3.46,-0.089,-0.027,-0.522,15.19,2022-11-01 10:50:00,0.0
66,3.451,-0.087,-0.027,-0.522,15.41,2022-11-01 11:00:00,0.0
67,3.443,-0.086,-0.026,-0.523,15.61,2022-11-01 11:10:00,0.0
68,3.433,-0.083,-0.026,-0.524,15.86,2022-11-01 11:20:00,0.0
69,3.414,-0.081,-0.026,-0.524,16.1,2022-11-01 11:30:00,0.0
70,3.394,-0.076,-0.025,-0.524,16.21,2022-11-01 11:40:00,0.0
71,3.376,-0.072,-0.024,-0.525,16.32,2022-11-01 11:50:00,0.0
72,3.358,-0.07,-0.023,-0.526,16.37,2022-11-01 12:00:00,0.0
73,3.329,-0.09,-0.023,-0.526,16.42,2022-11-01 12:10:00,0.0
74,3.315,-0.084,-0.022,-0.527,16.5,2022-11-01 12:20:00,0.0
75,3.293,-0.069,-0.021,-0.527,16.61,2022-11-01 12:30:00,0.0
76,3.291,-0.06,-0.021,-0.527,16.7,2022-11-01 12:40:00,0.0
77,3.284,-0.057,-0.021,-0.528,16.73,2022-11-01 12:50:00,0.0
78,3.274,-0.057,-0.02,-0.528,16.76,2022-11-01 13:00:00,0.0
79,3.265,-0.058,-0.02,-0.528,16.8,2022-11-01 13:10:00,0.0
80,3.256,-0.055,-0.019,-0.528,16.82,2022-11-01 13:20:00,0.0
81,3.245,-0.053,-0.019,-0.528,16.77,2022-11-01 13:30:00,0.0
82,3.228,-0.053,-0.018,-0.529,16.75,2022-11-01 13:40:00,0.0
83,3.222,-0.047,-0.018,-0.529,16.79,2022-11-01 13:50:00,0.0
84,3.199,-0.051,-0.017,-0.529,16.77,2022-11-01 14:00:00,0.0
85,3.189,-0.041,-0.017,-0.529,16.73,2022-11-01 14:10:00,0.0
86,3.175,-0.037,-0.016,-0.529,16.7,2022-11-01 14:20:00,0.0
87,3.162,-0.036,-0.015,-0.529,16.68,2022-11-01 14:30:00,0.0
88,3.153,-0.034,-0.015,-0.529,16.62,2022-11-01 14:40:00,0.0
89,3.139,-0.027,-0.015,-0.529,16.59,2022-11-01 14:50:00,0.0
90,3.122,-0.024,-0.014,-0.528,16.55,2022-11-01 15:00:00,0.0
91,3.111,-0.022,-0.014,-0.528,16.49,2022-11-01 15:10:00,0.0
92,3.103,-0.019,-0.013,-0.528,16.5,2022-11-01 15:20:00,0.0
93,3.094,-0.016,-0.013,-0.528,16.47,2022-11-01 15:30:00,0.0
94,3.09,-0.013,-0.013,-0.528,16.3,2022-11-01 15:40:00,0.0
95,3.078,-0.01,-0.012,-0.528,16.14,2022-11-01 15:50:00,0.0
96,3.074,-0.008,-0.012,-0.528,16.0,2022-11-01 16:00:00,0.0
97,3.075,-0.012,-0.012,-0.527,15.86,2022-11-01 16:10:00,0.0
98,3.08,-0.014,-0.011,-0.527,15.78,2022-11-01 16:20:00,0.0
99,3.087,-0.016,-0.012,-0.526,15.71,2022-11-01 16:30:00,0.0
100,3.09,-0.017,-0.012,-0.526,15.63,2022-11-01 16:40:00,0.0
101,3.091,-0.018,-0.012,-0.525,15.52,2022-11-01 16:50:00,0.0
102,3.101,-0.019,-0.012,-0.525,15.41,2022-11-01 17:00:00,0.0
103,3.108,-0.02,-0.013,-0.524,15.27,2022-11-01 17:10:00,0.0
104,3.117,-0.021,-0.013,-0.524,15.14,2022-11-01 17:20:00,0.0
105,3.127,-0.023,-0.013,-0.522,15.02,2022-11-01 17:30:00,0.0
106,3.138,-0.024,-0.014,-0.522,14.89,2022-11-01 17:40:00,0.0
107,3.148,-0.026,-0.014,-0.521,14.75,2022-11-01 17:50:00,0.0
108,3.157,-0.027,-0.015,-0.52,14.63,2022-11-01 18:00:00,0.0
109,3.167,-0.028,-0.015,-0.52,14.49,2022-11-01 18:10:00,0.0
110,3.176,-0.028,-0.016,-0.519,14.36,2022-11-01 18:20:00,0.0
111,3.184,-0.029,-0.016,-0.518,14.25,2022-11-01 18:30:00,0.0
112,3.193,-0.03,-0.017,-0.518,14.15,2022-11-01 18:40:00,0.0
113,3.203,-0.029,-0.017,-0.518,14.05,2022-11-01 18:50:00,0.0
114,3.209,-0.03,-0.018,-0.517,13.96,2022-11-01 19:00:00,0.0
115,3.212,-0.028,-0.018,-0.517,13.87,2022-11-01 19:10:00,0.0
116,3.222,-0.03,-0.018,-0.517,13.79,2022-11-01 19:20:00,0.0
117,3.228,-0.03,-0.018,-0.516,13.7,2022-11-01 19:30:00,0.0
118,3.232,-0.03,-0.018,-0.516,13.63,2022-11-01 19:40:00,0.0
119,3.239,-0.03,-0.018,-0.516,13.55,2022-11-01 19:50:00,0.0
120,3.244,-0.029,-0.019,-0.515,13.5,2022-11-01 20:00:00,0.0
121,3.25,-0.029,-0.019,-0.515,13.49,2022-11-01 20:10:00,0.0
122,3.257,-0.03,-0.019,-0.515,13.49,2022-11-01 20:20:00,0.0
123,3.26,-0.029,-0.019,-0.514,13.44,2022-11-01 20:30:00,0.0
124,3.266,-0.03,-0.02,-0.514,13.41,2022-11-01 20:40:00,0.0
125,3.27,-0.031,-0.02,-0.513,13.42,2022-11-01 20:50:00,0.0
126,3.275,-0.032,-0.02,-0.513,13.4,2022-11-01 21:00:00,0.0
127,3.278,-0.033,-0.021,-0.513,13.35,2022-11-01 21:10:00,0.0
128,3.283,-0.033,-0.021,-0.512,13.26,2022-11-01 21:20:00,0.0
129,3.289,-0.033,-0.021,-0.512,13.16,2022-11-01 21:30:00,0.0
130,3.293,-0.034,-0.022,-0.512,13.09,2022-11-01 21:40:00,0.0
131,3.298,-0.035,-0.022,-0.512,13.04,2022-11-01 21:50:00,0.0
132,3.302,-0.035,-0.022,-0.512,13.0,2022-11-01 22:00:00,0.0
133,3.308,-0.036,-0.023,-0.511,12.93,2022-11-01 22:10:00,0.0
134,3.318,-0.037,-0.023,-0.511,12.86,2022-11-01 22:20:00,0.0
135,3.326,-0.038,-0.023,-0.51,12.83,2022-11-01 22:30:00,0.0
136,3.333,-0.04,-0.024,-0.51,12.77,2022-11-01 22:40:00,0.0
137,3.34,-0.041,-0.024,-0.509,12.72,2022-11-01 22:50:00,0.0
138,3.348,-0.043,-0.025,-0.508,12.64,2022-11-01 23:00:00,0.0
139,3.355,-0.045,-0.025,-0.507,12.58,2022-11-01 23:10:00,0.0
140,3.363,-0.047,-0.026,-0.507,12.54,2022-11-01 23:20:00,0.0
141,3.37,-0.05,-0.026,-0.506,12.5,2022-11-01 23:30:00,0.0
142,3.377,-0.052,-0.027,-0.506,12.45,2022-11-01 23:40:00,0.0
143,3.385,-0.055,-0.027,-0.505,12.4,2022-11-01 23:50:00,0.0
144,3.392,-0.058,-0.027,-0.505,12.34,2022-11-02 00:00:00,0.0
145,3.399,-0.061,-0.027,-0.504,12.26,2022-11-02 00:10:00,0.0
146,3.406,-0.063,-0.028,-0.504,12.19,2022-11-02 00:20:00,0.0
147,3.413,-0.066,-0.028,-0.504,12.11,2022-11-02 00:30:00,0.0
148,3.42,-0.069,-0.028,-0.503,12.05,2022-11-02 00:40:00,0.0
149,3.428,-0.072,-0.029,-0.503,11.99,2022-11-02 00:50:00,0.0
150,3.434,-0.075,-0.029,-0.503,11.93,2022-11-02 01:00:00,0.0
151,3.442,-0.078,-0.029,-0.503,11.87,2022-11-02 01:10:00,0.0
152,3.448,-0.081,-0.029,-0.503,11.82,2022-11-02 01:20:00,0.0
153,3.455,-0.084,-0.03,-0.503,11.75,2022-11-02 01:30:00,0.0
154,3.462,-0.087,-0.03,-0.502,11.68,2022-11-02 01:40:00,0.0
155,3.469,-0.09,-0.03,-0.503,11.61,2022-11-02 01:50:00,0.0
156,3.476,-0.093,-0.031,-0.502,11.55,2022-11-02 02:00:00,0.0
157,3.483,-0.097,-0.031,-0.502,11.49,2022-11-02 02:10:00,0.0
158,3.49,-0.1,-0.031,-0.502,11.43,2022-11-02 02:20:00,0.0
159,3.497,-0.104,-0.032,-0.502,11.38,2022-11-02 02:30:00,0.0
160,3.505,-0.107,-0.032,-0.501,11.32,2022-11-02 02:40:00,0.0
161,3.512,-0.111,-0.032,-0.502,11.26,2022-11-02 02:50:00,0.0
162,3.52,-0.115,-0.032,-0.501,11.19,2022-11-02 03:00:00,0.0
163,3.527,-0.118,-0.032,-0.501,11.13,2022-11-02 03:10:00,0.0
164,3.534,-0.122,-0.033,-0.501,11.07,2022-11-02 03:20:00,0.0
165,3.542,-0.125,-0.033,-0.501,11.01,2022-11-02 03:30:00,0.0
166,3.549,-0.128,-0.033,-0.501,10.95,2022-11-02 03:40:00,0.0
167,3.557,-0.131,-0.034,-0.501,10.9,2022-11-02 03:50:00,0.0
168,3.565,-0.134,-0.034,-0.501,10.84,2022-11-02 04:00:00,0.0
169,3.573,-0.138,-0.034,-0.501,10.78,2022-11-02 04:10:00,0.0
170,3.581,-0.141,-0.034,-0.501,10.73,2022-11-02 04:20:00,0.0
171,3.589,-0.144,-0.034,-0.5,10.67,2022-11-02 04:30:00,0.0
172,3.597,-0.147,-0.034,-0.5,10.61,2022-11-02 04:40:00,0.0
173,3.605,-0.151,-0.035,-0.5,10.58,2022-11-02 04:50:00,0.0
174,3.614,-0.154,-0.035,-0.5,10.52,2022-11-02 05:00:00,0.0
175,3.622,-0.157,-0.035,-0.5,10.48,2022-11-02 05:10:00,0.0
176,3.63,-0.16,-0.035,-0.5,10.45,2022-11-02 05:20:00,0.0
177,3.639,-0.163,-0.035,-0.5,10.4,2022-11-02 05:30:00,0.0
