,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.0,-2.220728626,-2.219741938,-2.218931316,-2.21845721,-2.218151694,-2.217776086,-2.21732508,-2.216871487,-2.216323468,-2.215711102,-2.215128824,-2.214578083,-2.214086194,-2.213544603,-2.212909798,-2.212244477
0.024414,-2.912515917,-2.911303273,-2.913722534,-2.913373369,-2.910190505,-2.90998724,-2.912486095,-2.911979019,-2.908649334,-2.907729497,-2.909703435,-2.909724091,-2.906635195,-2.9054905,-2.907529997,-2.90763019
0.048828,-10.14347521,-10.3298342,-10.33956597,-10.12976274,-10.07754242,-10.2626457,-10.3304226,-10.14765758,-10.07720667,-10.25567465,-10.35223445,-10.16600846,-10.07716207,-10.26774503,-10.40706728,-10.22951849
0.073242,-10.55778464,-10.56618568,-10.4763125,-10.43955001,-10.55304514,-10.58054683,-10.50104889,-10.45253826,-10.53725437,-10.56332326,-10.49012129,-10.44586354,-10.53697935,-10.57898685,-10.53385947,-10.52610763
0.097656,-10.73061702,-10.75433198,-10.73095638,-10.7536543,-10.79418657,-10.84063362,-10.81928985,-10.82734912,-10.83197064,-10.81984882,-10.79061609,-10.81411247,-10.82603521,-10.80680607,-10.76913697,-10.85263373
0.12207,-10.7105362,-10.74371484,-10.70665649,-10.62131333,-10.63368178,-10.6654051,-10.6601248,-10.608511,-10.63850275,-10.68976028,-10.67805486,-10.61193957,-10.62822225,-10.66450072,-10.67609267,-10.64770074
0.14648,-11.08524331,-10.89874,-10.93378459,-11.14904259,-11.0836345,-10.81811611,-10.77335614,-10.96936641,-11.02202042,-10.815553,-10.74743193,-10.89369321,-10.94041976,-10.79481203,-10.73225429,-10.87760114
0.1709,-11.18659846,-11.18185656,-11.06406532,-11.01139422,-11.07511753,-11.05383815,-10.98964215,-10.99590754,-11.05078008,-10.97632466,-10.8744886,-10.88510045,-10.98813615,-10.95595188,-10.85957505,-10.86063541
0.19531,-11.23109314,-11.27078492,-11.27283828,-11.15930737,-11.14152159,-11.19252654,-11.20427001,-11.08853044,-11.03355599,-11.06778686,-11.15788611,-11.12335702,-11.04101897,-11.06206499,-11.16208333,-11.11346422
0.21973,-11.00214745,-11.18934383,-11.19738697,-11.00167559,-10.96151322,-11.15777036,-11.20545585,-10.96523683,-10.85698636,-11.02840896,-11.12810319,-10.94201668,-10.82709987,-10.92606466,-10.99997171,-10.88576109
0.24414,-10.88664122,-10.97206379,-10.88103443,-10.78945338,-10.8550422,-10.93573444,-10.86877592,-10.7925843,-10.85527608,-10.92767664,-10.85397032,-10.75313042,-10.77547119,-10.83141021,-10.78778317,-10.70550642
0.26855,-11.17456044,-11.05865566,-11.01101941,-11.1088337,-11.17269981,-11.08146358,-11.05492573,-11.1884525,-11.26404533,-11.13564771,-11.05985573,-11.16756467,-11.2723817,-11.17653693,-11.07040636,-11.1536293
0.29297,-11.09782637,-11.11106646,-11.07748567,-11.11039682,-11.16216288,-11.16760213,-11.11559856,-11.10931714,-11.15337149,-11.16833882,-11.11632255,-11.11445905,-11.1526419,-11.16255973,-11.13061216,-11.1201213
0.31738,-11.09239322,-11.10442842,-11.08185663,-11.03402936,-11.07376982,-11.08347837,-11.05081208,-10.99468104,-11.02603548,-11.05523266,-11.02673271,-10.95369719,-10.98923006,-11.05169123,-11.03286078,-10.97316746
0.3418,-10.74339765,-10.68239528,-10.55908278,-10.63004732,-10.77249926,-10.70169716,-10.54395102,-10.58528951,-10.76386411,-10.77667735,-10.6308491,-10.65530585,-10.8135688,-10.86115088,-10.73926775,-10.75332478
0.36621,-10.06384813,-10.01164573,-9.97370949,-10.04559861,-10.09815737,-10.06469492,-10.02795837,-10.09985813,-10.17775024,-10.16540981,-10.13481145,-10.17993641,-10.26978028,-10.26225962,-10.21755794,-10.2373706
0.39062,-10.24018376,-10.17412949,-10.06635089,-10.09633184,-10.2302624,-10.19660511,-10.11720869,-10.16946775,-10.29371283,-10.23069798,-10.1336001,-10.18792194,-10.28453652,-10.23721782,-10.16172693,-10.19664892
0.41504,-9.847901617,-9.890676322,-9.935159454,-9.901371103,-9.844520131,-9.884143505,-9.937575699,-9.92750429,-9.87366641,-9.892157498,-9.939366385,-9.953477965,-9.911410111,-9.931365971,-10.00715437,-10.06644458
0.43945,-9.451867283,-9.51741798,-9.48848191,-9.393057069,-9.382577981,-9.45338372,-9.447411911,-9.341191479,-9.317912153,-9.401832171,-9.424599772,-9.322872919,-9.287794119,-9.375153803,-9.431167412,-9.344277252
0.46387,-9.218802063,-9.079017088,-9.06566465,-9.187250222,-9.17411052,-8.995296357,-8.965564288,-9.12408399,-9.155444732,-8.975936789,-8.93731529,-9.117614964,-9.20778441,-9.002120173,-8.866524901,-8.982184812
0.48828,-9.173844274,-9.075297149,-9.003838066,-9.076893956,-9.109562962,-9.004358925,-8.946449166,-9.050135886,-9.125167334,-9.0255155,-8.947276625,-9.051609161,-9.132162668,-9.018689779,-8.89242969,-8.93180441
0.5127,-9.175478766,-9.196828736,-9.11011422,-9.059607451,-9.11212702,-9.169645778,-9.128605882,-9.0682022,-9.07250919,-9.096998824,-9.077218551,-9.042544644,-9.077984346,-9.096815106,-9.00324608,-8.906308094
0.53711,-9.272652997,-9.346084791,-9.401747723,-9.322390203,-9.261706649,-9.295094737,-9.345191155,-9.285803241,-9.242845288,-9.293944408,-9.354185596,-9.279901734,-9.191049166,-9.197684147,-9.214599246,-9.121204847
0.56152,-9.273260193,-9.353257706,-9.583835906,-9.543997776,-9.318702672,-9.335553396,-9.541719795,-9.541314773,-9.314182709,-9.307048965,-9.502712078,-9.535175085,-9.325679007,-9.295603373,-9.480312178,-9.54938159
0.58594,-9.100430746,-9.06422323,-9.101393641,-9.151254947,-9.118059706,-9.059288577,-9.089698883,-9.148297893,-9.117318456,-9.034209886,-9.056059544,-9.136154179,-9.130022177,-9.05173012,-9.076778839,-9.177829965
0.61035,-9.317670135,-9.331065744,-9.386754794,-9.349482791,-9.254913949,-9.261308839,-9.360922458,-9.374155037,-9.297565727,-9.280917157,-9.336871959,-9.347452273,-9.296653277,-9.276099737,-9.327760927,-9.353434722
0.63477,-9.089153261,-9.117367489,-9.038656854,-8.985169488,-9.040275605,-9.118762325,-9.072947261,-9.019570488,-9.059738558,-9.113262529,-9.033566056,-8.924050943,-8.928072105,-9.00642152,-8.999114072,-8.931960593
0.65918,-9.071083986,-9.011472978,-8.949539068,-8.983268199,-9.041072368,-8.999847924,-8.941293342,-8.9738955,-9.045413729,-9.005393476,-8.87932276,-8.8245308,-8.84057205,-8.834703105,-8.775696926,-8.763782623
0.68359,-9.226166171,-9.220615533,-9.100284726,-9.100046418,-9.215589726,-9.181321,-9.018607708,-9.011396194,-9.160864772,-9.170026267,-8.998282388,-8.961446394,-9.099432123,-9.125888022,-8.974772646,-8.936874758
0.70801,-9.344337641,-9.411699108,-9.394014189,-9.275649801,-9.197623418,-9.246078646,-9.337348682,-9.31752067,-9.258756843,-9.31362842,-9.448200292,-9.413949207,-9.306877299,-9.329474999,-9.461566116,-9.43167368
0.73242,-9.270922818,-9.353817983,-9.414428072,-9.266870456,-9.09648709,-9.105144043,-9.192029618,-9.156594619,-9.056017935,-9.091632256,-9.211908003,-9.19108208,-9.059842599,-9.070592872,-9.181579916,-9.188409937
0.75684,-9.376411993,-9.309428124,-9.39695162,-9.461542871,-9.340727863,-9.191503793,-9.186218528,-9.225272754,-9.161910386,-9.071911483,-9.097925286,-9.166859873,-9.117605629,-9.009488543,-9.034539506,-9.137377725
0.78125,-9.564015772,-9.601612171,-9.678359265,-9.670264918,-9.599808684,-9.597481651,-9.655527679,-9.645770746,-9.566294524,-9.515882888,-9.522007408,-9.520998114,-9.478184691,-9.445831223,-9.443489928,-9.484584142
0.80566,-9.939294431,-9.995651172,-9.848891935,-9.788490501,-9.922970358,-10.04399373,-9.909885054,-9.815166792,-9.916128027,-10.03912811,-9.897892813,-9.788839212,-9.923018864,-10.10151677,-9.963633564,-9.852528377
0.83008,-9.983500951,-10.06658599,-9.985382715,-9.869762297,-9.91505452,-10.04817197,-10.03273096,-9.900725655,-9.910798474,-10.03322098,-10.05654329,-9.916927953,-9.876553849,-9.972476525,-10.14763718,-10.15225123
0.85449,-9.720286966,-9.665912706,-9.564056018,-9.593574851,-9.703859059,-9.672126629,-9.571292016,-9.595227719,-9.698660071,-9.687441619,-9.589431626,-9.600576968,-9.688277434,-9.720687849,-9.685310084,-9.738640598
0.87891,-9.608043482,-9.514674754,-9.508952278,-9.599646487,-9.621033094,-9.544181384,-9.529886958,-9.589670404,-9.583463964,-9.487394127,-9.47660697,-9.578432782,-9.666892447,-9.634664479,-9.579918615,-9.595755299
0.90332,-9.98474949,-9.812478165,-9.7295209,-9.884162845,-10.01039554,-9.852862086,-9.72475763,-9.816000759,-9.942284501,-9.841232776,-9.714551562,-9.784794243,-9.951104672,-9.929112359,-9.823391944,-9.842331376
0.92773,-9.519482019,-9.501280445,-9.497298514,-9.544907857,-9.550889583,-9.479740638,-9.432138312,-9.495542474,-9.542537705,-9.489900501,-9.430497114,-9.484750163,-9.52938526,-9.504919692,-9.486538568,-9.628020526
0.95215,-9.529232927,-9.509917947,-9.552609676,-9.583715311,-9.525802959,-9.470596884,-9.510647347,-9.56128275,-9.52378361,-9.467799543,-9.502447758,-9.542300329,-9.496729383,-9.435857316,-9.519086368,-9.624939644
0.97656,-9.654948512,-9.547685548,-9.671198896,-9.7508155,-9.596998206,-9.513111933,-9.652931824,-9.756053378,-9.606172456,-9.508917803,-9.641830714,-9.779314076,-9.656176294,-9.510753628,-9.523118025,-9.573848489
1.001,-9.820451682,-9.916718949,-9.903105279,-9.763123354,-9.721997203,-9.814911742,-9.858165643,-9.769833459,-9.731029169,-9.837137561,-9.919357402,-9.847495888,-9.768256246,-9.845053433,-9.884974368,-9.687542306
1.0254,-10.28453738,-10.25573651,-10.23594537,-10.28554458,-10.25054599,-10.15697591,-10.11610779,-10.19183746,-10.21675662,-10.14224428,-10.13276617,-10.20776512,-10.21561902,-10.07404823,-9.987176612,-10.01655692
1.0498,-9.869618099,-9.848837889,-9.971150017,-9.977912383,-9.850544769,-9.817045789,-9.946688421,-9.966544846,-9.81743582,-9.79443964,-9.969654867,-10.02947424,-9.80855231,-9.673432494,-9.812209038,-10.01042787
1.0742,-9.686265609,-9.78330007,-9.833698485,-9.745319306,-9.68293085,-9.746237734,-9.818391207,-9.755945236,-9.664745338,-9.665157369,-9.706670224,-9.636615624,-9.515291205,-9.524886013,-9.647631513,-9.669678903
1.0986,-9.653606145,-9.728626771,-9.788618192,-9.779273015,-9.734792996,-9.780224655,-9.821620017,-9.800322862,-9.753207405,-9.792031728,-9.788353063,-9.679627623,-9.592539723,-9.632737191,-9.688343648,-9.641010234
1.123,-9.748535716,-9.690785019,-9.633690435,-9.686491266,-9.783097616,-9.732645,-9.656788652,-9.68059481,-9.762375619,-9.726706694,-9.642162634,-9.655292553,-9.739975637,-9.729262504,-9.64010547,-9.624434535
1.1475,-9.945548016,-9.883188757,-9.805743125,-9.847659904,-9.903977289,-9.851412403,-9.773609759,-9.811233771,-9.888574913,-9.859416833,-9.787535212,-9.819484108,-9.902434093,-9.877658788,-9.796313869,-9.81059069
1.1719,-9.890501062,-9.774365832,-9.651742404,-9.728674926,-9.833601807,-9.733963674,-9.626857186,-9.715967945,-9.846375855,-9.758093293,-9.63072348,-9.706234151,-9.855761446,-9.780891294,-9.632940009,-9.672881722
1.1963,-10.09525191,-9.906984383,-9.959695276,-10.13236247,-10.03072267,-9.841696737,-9.922749984,-10.14827842,-10.06886355,-9.852370367,-9.904271317,-10.14021623,-10.09844554,-9.860239348,-9.854737566,-10.0404172
1.2207,-10.15367588,-10.12343084,-10.00939398,-9.990992687,-10.04026532,-10.00309692,-9.923879866,-9.948181279,-10.02957618,-10.00951341,-9.932449016,-9.95080532,-10.03420181,-9.992233995,-9.861276887,-9.871961632
1.2451,-9.847488473,-9.910369121,-9.849099919,-9.791040099,-9.834958607,-9.886865213,-9.830647463,-9.747110299,-9.776702662,-9.852497219,-9.82001397,-9.726753023,-9.718666679,-9.757035598,-9.722060456,-9.637966246
1.2695,-9.874400518,-9.927129302,-9.87055696,-9.846437795,-9.907810969,-9.931842579,-9.864839951,-9.808114167,-9.793055212,-9.774834718,-9.763943398,-9.784856843,-9.82521572,-9.786650807,-9.731175975,-9.766028199
1.2939,-10.17035401,-10.0501373,-10.27692847,-10.39565497,-10.18629871,-10.04304179,-10.19491746,-10.29645913,-10.10083892,-9.937415493,-10.04330787,-10.20029171,-10.10472942,-9.960208043,-10.00818576,-10.1214735
