,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0.0,-1.519922281,-1.518867727,-1.517845375,-1.516646282,-1.515355651,-1.514157641,-1.513077475,-1.512121288,-1.511095706,-1.509932864,-1.508674077,-1.507380974,-1.505916805,-1.504202645,-1.502488834,-1.500982522,-1.499605329,-1.498057898,-1.496318768,-1.494632567,-1.493131292,-1.491550026,-1.4898398,-1.488153055,-1.486708439,-1.485384731,-1.484184397,-1.483548162,-1.483897571,-1.484965397,-1.486171755,-1.487153419,-1.487937001,-1.488592478,-1.489187542,-1.489567156,-1.489783144,-1.490161919,-1.490805515,-1.491489124,-1.491922132,-1.492271561,-1.492752342,-1.493500741,-1.494371523,-1.495132001,-1.495675304,-1.49606273,-1.496384382
0.024414,-2.214186227,-2.212770874,-2.209929838,-2.20962331,-2.209957054,-2.207390487,-2.204548818,-2.204976856,-2.206232386,-2.203881825,-2.200171427,-2.199899611,-2.201290344,-2.198808498,-2.193595548,-2.192228421,-2.194563675,-2.193715303,-2.188362219,-2.185273552,-2.186994791,-2.187526464,-2.182851527,-2.178606551,-2.179462268,-2.180992752,-2.17760046,-2.173111158,-2.174737822,-2.180704429,-2.182508996,-2.179441207,-2.179189625,-2.183687095,-2.185553519,-2.182480798,-2.180954922,-2.183930745,-2.186359427,-2.18506652,-2.184156509,-2.18604081,-2.18754016,-2.18646969,-2.186418875,-2.18952495,-2.191535948,-2.189487998,-2.1878339
0.048828,-9.952199907,-9.980264939,-10.12187939,-10.11394298,-9.972932349,-9.978128954,-10.09561887,-10.06403278,-9.930465991,-9.957512748,-10.14764952,-10.13265024,-9.962328012,-9.949246377,-10.11687129,-10.11902466,-9.942025414,-9.899137005,-10.081731,-10.14361756,-9.985665235,-9.923347505,-10.10636905,-10.15284032,-9.976847777,-9.87905498,-10.03602503,-10.24801486,-10.28012586,-10.28262145,-10.29736075,-10.27566443,-10.25997665,-10.25414921,-10.28571424,-10.29137686,-10.27579629,-10.23586352,-10.25024425,-10.26202196,-10.28197344,-10.23788043,-10.23945461,-10.2554563,-10.28231313,-10.21078707,-10.19220207,-10.22090987,-10.29104697
0.073242,-10.48397039,-10.44749483,-10.44078237,-10.52100168,-10.51712259,-10.47780017,-10.42064846,-10.44771267,-10.45283909,-10.42526116,-10.38805519,-10.39985333,-10.37627268,-10.37035572,-10.37178492,-10.42162548,-10.42845959,-10.37695072,-10.36839002,-10.43141781,-10.45395202,-10.37883799,-10.34772086,-10.38511488,-10.42014142,-10.36661009,-10.37228747,-10.38890644,-10.4217072,-10.364718,-10.37914745,-10.42020348,-10.42431304,-10.37074441,-10.37696705,-10.43631865,-10.43242202,-10.36652907,-10.3586789,-10.4248173,-10.43546786,-10.36934163,-10.34804058,-10.41618981,-10.42488639,-10.36990999,-10.34081532,-10.38398801,-10.38879397
0.097656,-10.61268621,-10.48438907,-10.48856375,-10.62625767,-10.61913264,-10.44292292,-10.43270828,-10.59038324,-10.58541925,-10.45593027,-10.42586626,-10.56330183,-10.55903478,-10.49110183,-10.4720838,-10.60457647,-10.598378,-10.48682914,-10.43516317,-10.56174476,-10.59829714,-10.49428586,-10.44248711,-10.56026071,-10.59668916,-10.48228799,-10.4511255,-10.60063657,-10.68145456,-10.57503631,-10.49207158,-10.56860987,-10.66421831,-10.5506821,-10.44267327,-10.49332296,-10.63069798,-10.53011991,-10.41596807,-10.46246243,-10.62853234,-10.55039903,-10.45691851,-10.49969645,-10.63121616,-10.53342605,-10.42192677,-10.42483329,-10.56096743
0.12207,-10.37548244,-10.37294889,-10.43725659,-10.48450274,-10.49254008,-10.51103356,-10.53532578,-10.53683322,-10.53680175,-10.58035964,-10.58921193,-10.56622649,-10.54614683,-10.60106664,-10.63055683,-10.60205005,-10.54266636,-10.56412809,-10.57199473,-10.54272958,-10.4728233,-10.4665134,-10.49829722,-10.52486645,-10.46703004,-10.43865667,-10.4705003,-10.56809726,-10.60200435,-10.54778251,-10.49848549,-10.53226491,-10.57556746,-10.5552769,-10.47237413,-10.44276889,-10.4598012,-10.4809112,-10.45021427,-10.44114511,-10.47581236,-10.51649362,-10.49530556,-10.47034211,-10.48010973,-10.50967287,-10.51834099,-10.52406141,-10.54165125
0.14648,-10.76925198,-10.54920105,-10.61182524,-10.83812773,-10.80561252,-10.63321536,-10.66081677,-10.77060497,-10.68290443,-10.60606189,-10.65538539,-10.74800491,-10.67983031,-10.60910478,-10.65058954,-10.76817576,-10.69916396,-10.60781392,-10.62748614,-10.78207602,-10.69155316,-10.54085904,-10.52510932,-10.65866695,-10.62071995,-10.50520554,-10.52954535,-10.70152746,-10.70289134,-10.56521214,-10.53250268,-10.67398135,-10.69300799,-10.54582923,-10.45690268,-10.54190407,-10.62002146,-10.53828103,-10.46130677,-10.52084684,-10.61004972,-10.5591384,-10.47589222,-10.51316027,-10.60677786,-10.58332644,-10.53113387,-10.57583092,-10.67815123
0.1709,-10.53600118,-10.53387409,-10.53741406,-10.54090939,-10.51269165,-10.52124221,-10.55738811,-10.58850763,-10.57538283,-10.53614354,-10.53100908,-10.56095637,-10.5548759,-10.53194201,-10.53403892,-10.58686378,-10.59496347,-10.55276362,-10.53282664,-10.57444078,-10.59179425,-10.55586071,-10.53474134,-10.57538165,-10.56531599,-10.47897723,-10.44429,-10.50652356,-10.49609688,-10.4314815,-10.41389179,-10.49481046,-10.50543601,-10.41520372,-10.33664912,-10.36628508,-10.39753554,-10.36031615,-10.31234464,-10.34972123,-10.40177478,-10.38219365,-10.33218892,-10.35797537,-10.42437626,-10.42179343,-10.36499551,-10.37035441,-10.42664995
0.19531,-10.68506316,-10.81581024,-10.82660767,-10.68883749,-10.67855257,-10.77772984,-10.83544599,-10.72356739,-10.68594585,-10.7769063,-10.82676799,-10.767165,-10.7098684,-10.78120008,-10.82273539,-10.785236,-10.71264903,-10.80088052,-10.87773191,-10.80092644,-10.6982624,-10.78844154,-10.87937034,-10.79669886,-10.67923463,-10.74805045,-10.7874516,-10.71926841,-10.65486964,-10.74927007,-10.78984147,-10.7400044,-10.67571431,-10.74036823,-10.73721269,-10.70727795,-10.66059034,-10.72489632,-10.7117349,-10.71057643,-10.66652531,-10.7085565,-10.69437046,-10.73476127,-10.74879118,-10.74102992,-10.67647659,-10.68180801,-10.74784563
0.21973,-10.84505786,-10.69924555,-10.59675717,-10.72514582,-10.86967232,-10.7481628,-10.62171429,-10.70871552,-10.8697001,-10.78238116,-10.65092719,-10.71879534,-10.85859178,-10.78032956,-10.66540105,-10.72546739,-10.85174477,-10.79902637,-10.68547247,-10.71327222,-10.81658921,-10.79442892,-10.69790934,-10.70698096,-10.80769913,-10.80337711,-10.71632836,-10.71857612,-10.82718838,-10.85542831,-10.7971715,-10.76938698,-10.83537443,-10.84250879,-10.79830522,-10.79091654,-10.86258146,-10.86158452,-10.78359219,-10.74440297,-10.81395925,-10.83613969,-10.80085303,-10.82860099,-10.9291251,-10.91603401,-10.80838047,-10.81691492,-10.92773622
0.24414,-10.58329908,-10.55532831,-10.60567636,-10.65700699,-10.60932787,-10.59564813,-10.65032264,-10.70821975,-10.67425323,-10.67872205,-10.7533605,-10.79526909,-10.73188802,-10.70606112,-10.77128946,-10.82857847,-10.77771371,-10.74827466,-10.80343665,-10.83342544,-10.77061043,-10.74079797,-10.8050636,-10.85726945,-10.81624607,-10.76234595,-10.78810847,-10.82679524,-10.77419448,-10.7317515,-10.78572129,-10.8326503,-10.77641889,-10.72358239,-10.77234837,-10.86263696,-10.87253239,-10.78419862,-10.76014183,-10.80063963,-10.79415551,-10.71713104,-10.71946314,-10.83069497,-10.86904251,-10.72625819,-10.66793897,-10.78231134,-10.88249051
0.26855,-10.58700436,-10.55800519,-10.68518668,-10.74947929,-10.66414947,-10.60578475,-10.68529151,-10.74539765,-10.73077794,-10.70860278,-10.76520528,-10.79956738,-10.76723944,-10.72417772,-10.75750303,-10.78326035,-10.74989872,-10.70465446,-10.74137731,-10.7838548,-10.74777698,-10.68862319,-10.72362446,-10.78302746,-10.76741098,-10.70439311,-10.7042168,-10.74654515,-10.76253419,-10.70395671,-10.66409609,-10.71040836,-10.76604278,-10.69531333,-10.64285349,-10.72504376,-10.83518429,-10.78276865,-10.68924458,-10.73664485,-10.84199511,-10.77385866,-10.64245848,-10.65954279,-10.73655953,-10.68965992,-10.58249358,-10.6223299,-10.75367292
0.29297,-10.4959386,-10.45246697,-10.65192268,-10.73007966,-10.54894736,-10.50497645,-10.73817022,-10.867182,-10.61937826,-10.51332987,-10.73145585,-10.88750643,-10.64166248,-10.50655144,-10.70618388,-10.88081928,-10.61489372,-10.43028118,-10.61616646,-10.87809582,-10.67478789,-10.46226649,-10.61328031,-10.89866919,-10.72528987,-10.47989424,-10.55947199,-10.78268081,-10.633539,-10.38703978,-10.42923637,-10.6415755,-10.56706366,-10.36947855,-10.41160312,-10.6371001,-10.60708609,-10.40059633,-10.41127748,-10.62381385,-10.60870547,-10.39241907,-10.388008,-10.61183788,-10.60873781,-10.31503883,-10.24013019,-10.47001087,-10.58336785
