,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.0,-0.843984248,-0.842884804,-0.841839191,-0.840877169,-0.839875604,-0.838868268,-0.837811221,-0.836672462,-0.83532944,-0.833890535,-0.832398036,-0.830899431,-0.829411372,-0.82800239,-0.826725842,-0.82549532,-0.824276775,-0.823064002,-0.821958902,-0.821059137,-0.820318755,-0.819556453,-0.818628653,-0.817520421,-0.816405117,-0.815412043,-0.814483023,-0.813371135,-0.812189245,-0.811108247,-0.810046954,-0.808828385,-0.807589721,-0.806477244,-0.805365461,-0.804057276,-0.802667267,-0.801379299,-0.800187186,-0.799094983,-0.798252809,-0.797596163,-0.796823867,-0.795953317,-0.795168139,-0.79454455,-0.793938591,-0.793270013,-0.792477336,-0.791789987,-0.791334996,-0.790945703,-0.790528473,-0.790158843,-0.789872078,-0.789511528,-0.789046331,-0.788552561,-0.788073485,-0.787567177,-0.786967825,-0.78642969,-0.786098705,-0.785999811,-0.786023538,-0.78608087,-0.786064489,-0.786017819,-0.785884123,-0.78560441,-0.78520374,-0.784824687,-0.784428039,-0.783958643,-0.783525113,-0.783161616,-0.782766215,-0.782303281,-0.781901898,-0.781624591,-0.781434341,-0.781245499,-0.780892936,-0.780489672,-0.780292584,-0.78048008,-0.780975979,-0.781662619,-0.782346445,-0.782902274,-0.783350635,-0.783730916,-0.784052833,-0.784287083,-0.784439224,-0.784587969,-0.784744068,-0.784864047,-0.78491249,-0.784903696
0.024414,-1.539080119,-1.535621348,-1.534104225,-1.535391299,-1.535307591,-1.532069428,-1.530020234,-1.531114615,-1.531221438,-1.527432396,-1.524200363,-1.524788114,-1.525153937,-1.521642251,-1.518239633,-1.519136196,-1.520295575,-1.517151209,-1.51328497,-1.513860057,-1.516110067,-1.514537791,-1.510905739,-1.510434714,-1.511654612,-1.509887498,-1.506719953,-1.506781047,-1.507660028,-1.505160991,-1.502143377,-1.502595287,-1.503109801,-1.500115321,-1.497426017,-1.498332316,-1.498413242,-1.494590298,-1.491754328,-1.493029177,-1.493653745,-1.490908787,-1.48923142,-1.490347112,-1.490171964,-1.487429862,-1.486393673,-1.488025972,-1.487959757,-1.484476019,-1.482791487,-1.485496653,-1.486763099,-1.483243176,-1.48097915,-1.483978122,-1.485816399,-1.481949714,-1.478823119,-1.481582977,-1.484027904,-1.480081972,-1.476106133,-1.479059835,-1.483223592,-1.480750853,-1.476673143,-1.478752997,-1.482969055,-1.481021306,-1.476094427,-1.476704269,-1.480988329,-1.479998184,-1.474606563,-1.474315118,-1.479116475,-1.47904858,-1.473188565,-1.471956722,-1.477231025,-1.478648066,-1.473318597,-1.47067078,-1.474643692,-1.476987914,-1.473658734,-1.472214791,-1.477022157,-1.480327104,-1.476812499,-1.474066743,-1.478075646,-1.481786894,-1.478488023,-1.47473825,-1.4780078,-1.482374783,-1.479693783,-1.475228545
0.048828,-10.1947251,-10.16204415,-10.13654585,-10.1642401,-10.18725146,-10.14483295,-10.10104104,-10.09866408,-10.1348041,-10.11662594,-10.07706063,-10.07328341,-10.12307197,-10.10852636,-10.06512365,-10.08282147,-10.18396802,-10.21993843,-10.16302659,-10.15648696,-10.2138231,-10.22736537,-10.17652436,-10.14939093,-10.19354938,-10.21970598,-10.17688119,-10.15679016,-10.20796944,-10.2881391,-10.26550967,-10.18746999,-10.16527925,-10.20476705,-10.18014151,-10.11195966,-10.11805419,-10.20775303,-10.22723176,-10.17657582,-10.17498371,-10.24549644,-10.25550917,-10.1917192,-10.18768751,-10.27559079,-10.30356578,-10.22650638,-10.20856062,-10.24689425,-10.14534068,-9.971323425,-10.00247542,-10.1926248,-10.18723444,-9.977609556,-9.943794945,-10.06280174,-10.03355988,-9.863820269,-9.847957575,-9.998046491,-10.047295,-9.882599619,-9.81453751,-9.900177749,-9.951093849,-9.852140274,-9.807510252,-9.901604076,-9.953622342,-9.84817426,-9.780269178,-9.863292184,-9.932092892,-9.854144091,-9.77855007,-9.841304869,-9.903743533,-9.81730369,-9.727288541,-9.807174994,-9.910283631,-9.858611485,-9.775093798,-9.846622481,-9.913443273,-9.857223971,-9.796000693,-9.875325373,-9.946217751,-9.878747832,-9.795589052,-9.859678081,-9.939598619,-9.879353449,-9.773486095,-9.818732526,-9.923149589,-9.912374648
0.073242,-10.15756876,-10.19469852,-10.25772301,-10.25135464,-10.16715986,-10.17022948,-10.20866025,-10.22302256,-10.16255172,-10.16513617,-10.20044642,-10.21979477,-10.17059568,-10.16230656,-10.18821458,-10.21937286,-10.19865698,-10.16981281,-10.19346194,-10.22638017,-10.22366586,-10.18184501,-10.19509658,-10.22145738,-10.22797433,-10.18110313,-10.18594696,-10.22081805,-10.27323407,-10.264888,-10.28324308,-10.33122023,-10.36704914,-10.31334524,-10.30854323,-10.35680153,-10.39899642,-10.32105365,-10.30906255,-10.39111533,-10.50130476,-10.44582756,-10.38238021,-10.4016174,-10.50602644,-10.46484185,-10.37832018,-10.38072117,-10.50715841,-10.4613548,-10.26485043,-10.14650673,-10.23858298,-10.32352312,-10.23755499,-10.14614721,-10.2264781,-10.32153827,-10.22117811,-10.12609984,-10.22938112,-10.37090654,-10.2791193,-10.1749066,-10.23436799,-10.38402581,-10.32268277,-10.20359187,-10.23177075,-10.37050606,-10.3236712,-10.21152582,-10.21417119,-10.34988296,-10.30387122,-10.18606533,-10.1670848,-10.31200307,-10.28638189,-10.16890127,-10.13643927,-10.2915331,-10.32975096,-10.28918485,-10.30111874,-10.44365536,-10.4290778,-10.31077459,-10.30048464,-10.48572557,-10.51969795,-10.39788396,-10.31255731,-10.45716678,-10.54105034,-10.43041307,-10.34298489,-10.44428556,-10.51004959,-10.44185209
0.097656,-10.43140423,-10.52197147,-10.43086199,-10.31973312,-10.40936982,-10.48920692,-10.42170548,-10.31548512,-10.39097313,-10.48749079,-10.42577747,-10.30713906,-10.34858457,-10.44357167,-10.40643324,-10.29810592,-10.27282647,-10.32334189,-10.31275786,-10.25809398,-10.25709563,-10.31084549,-10.3135535,-10.26390593,-10.25183067,-10.29938955,-10.30180349,-10.25287654,-10.23254818,-10.27699092,-10.29535731,-10.26929103,-10.26834525,-10.32093889,-10.32807261,-10.28213272,-10.26104761,-10.31770349,-10.3288605,-10.2808656,-10.26774899,-10.35941278,-10.41100824,-10.37739029,-10.34463641,-10.39885476,-10.41900032,-10.35753437,-10.28526581,-10.29903903,-10.31860385,-10.27036201,-10.19197488,-10.20588971,-10.27346804,-10.26903329,-10.19597458,-10.19708491,-10.25441578,-10.25228015,-10.17687052,-10.1626717,-10.19358646,-10.18356408,-10.12838068,-10.14448955,-10.20905765,-10.21204012,-10.13926586,-10.13594085,-10.19887108,-10.21339753,-10.14114032,-10.12935723,-10.20370038,-10.21413943,-10.1091578,-10.0730702,-10.17723009,-10.22139027,-10.11559051,-10.05554579,-10.15570787,-10.29697741,-10.32842023,-10.29050411,-10.2823626,-10.3520165,-10.35998275,-10.31382302,-10.29122472,-10.37580376,-10.40383336,-10.3507489,-10.29740497,-10.35510229,-10.37423687,-10.3096732,-10.25453867,-10.31845535
0.12207,-10.65781435,-10.69318404,-10.59812438,-10.54594758,-10.60816232,-10.67297238,-10.62121006,-10.57025964,-10.63367458,-10.71172465,-10.65872385,-10.56118486,-10.61684993,-10.71602412,-10.65844063,-10.54698271,-10.65221948,-10.80345296,-10.69750299,-10.53315614,-10.64688379,-10.84811315,-10.76627755,-10.57123589,-10.63581118,-10.8276797,-10.78571008,-10.56547977,-10.53760443,-10.66630879,-10.72009029,-10.57170941,-10.52475384,-10.63059042,-10.71406034,-10.58905715,-10.52368274,-10.60825173,-10.70151994,-10.59284715,-10.5218896,-10.58716234,-10.67610184,-10.58098555,-10.52949697,-10.60747796,-10.69732713,-10.59991182,-10.50586524,-10.54814409,-10.66105193,-10.61067541,-10.47828463,-10.46373136,-10.6011809,-10.61978411,-10.48481198,-10.43319085,-10.52764837,-10.53385565,-10.37579794,-10.30739619,-10.4381969,-10.51737,-10.33932174,-10.25205374,-10.4199255,-10.57290507,-10.39512521,-10.26297571,-10.3943491,-10.57562213,-10.42597171,-10.27388565,-10.36424379,-10.52665903,-10.37573927,-10.19922219,-10.26537318,-10.46377685,-10.38295822,-10.21754389,-10.30178921,-10.61405777,-10.65816765,-10.44046585,-10.40770334,-10.63861476,-10.68327782,-10.45700666,-10.40629405,-10.62316248,-10.67042723,-10.45834655,-10.40600756,-10.60349716,-10.6536485,-10.44036097,-10.3909584,-10.60243201
0.14648,-10.63336049,-10.6478788,-10.53176016,-10.48461956,-10.53704261,-10.57626567,-10.51902645,-10.47629459,-10.54070389,-10.59716668,-10.52622122,-10.45576783,-10.51165986,-10.56002606,-10.48268917,-10.43486029,-10.54519229,-10.62249033,-10.49589264,-10.39582797,-10.51316423,-10.6504027,-10.56183281,-10.4212333,-10.49940727,-10.63612375,-10.56524211,-10.4072756,-10.4587661,-10.59977536,-10.57406557,-10.41640307,-10.44130292,-10.56788508,-10.5705982,-10.41688691,-10.42771798,-10.56460236,-10.57559644,-10.40884551,-10.41314119,-10.56413747,-10.60044232,-10.43488025,-10.38237712,-10.51971776,-10.61099158,-10.46603195,-10.36962011,-10.45487226,-10.52958065,-10.42400494,-10.33578459,-10.41095005,-10.49050654,-10.40922988,-10.31381573,-10.36310247,-10.45002673,-10.41511783,-10.31281755,-10.31522775,-10.39419061,-10.37824349,-10.26354644,-10.26031562,-10.37221221,-10.40683609,-10.3030781,-10.26169573,-10.33859206,-10.39440345,-10.31467995,-10.28050835,-10.35538699,-10.42075071,-10.32852531,-10.23928517,-10.27558285,-10.37386233,-10.32679604,-10.24073814,-10.28887625,-10.489861,-10.57940902,-10.40895492,-10.32985329,-10.47414874,-10.60888308,-10.45288109,-10.32450348,-10.43177076,-10.58347497,-10.47016472,-10.34227415,-10.43832771,-10.58814691,-10.47729293,-10.32593149,-10.40330498
0.1709,-10.44911137,-10.44397235,-10.42136761,-10.42366583,-10.41611166,-10.35944521,-10.30339419,-10.29153379,-10.35282956,-10.33386108,-10.26836204,-10.2622929,-10.32462379,-10.31455559,-10.24540088,-10.23887839,-10.32496686,-10.34994755,-10.27769424,-10.25696605,-10.33618715,-10.37145697,-10.29061161,-10.25436236,-10.32370555,-10.35890944,-10.28636732,-10.26924699,-10.34983896,-10.39828508,-10.30436369,-10.2685949,-10.35132734,-10.40884631,-10.31126179,-10.26411893,-10.34233323,-10.41362501,-10.33366612,-10.29152636,-10.39493057,-10.51784659,-10.42028697,-10.311691,-10.38911287,-10.51156472,-10.42116586,-10.30724822,-10.35600607,-10.43308305,-10.35065885,-10.26723949,-10.3114611,-10.38013153,-10.32255193,-10.25823058,-10.30506579,-10.371408,-10.31106957,-10.22694983,-10.24965308,-10.30116613,-10.24674734,-10.17782146,-10.197763,-10.2443177,-10.1926634,-10.1509369,-10.19064824,-10.24545191,-10.19215509,-10.13415776,-10.1571758,-10.20515094,-10.16483585,-10.10579276,-10.13293356,-10.19747332,-10.16352688,-10.09488952,-10.11510263,-10.18997076,-10.19795914,-10.1898259,-10.27955674,-10.38850689,-10.3359174,-10.26554551,-10.316925,-10.41594427,-10.35094416,-10.2476512,-10.28142554,-10.40238721,-10.3767143,-10.28343834,-10.30223583,-10.39913253,-10.37286174,-10.27628162
0.19531,-10.72932346,-10.88874404,-10.76517493,-10.62331672,-10.69267996,-10.67625535,-10.49570885,-10.44185215,-10.63752863,-10.6882718,-10.52721047,-10.4948667,-10.73462502,-10.81574701,-10.5335883,-10.43291109,-10.67517897,-10.84936409,-10.59871465,-10.45048468,-10.64758528,-10.8241499,-10.6120196,-10.44446947,-10.62094694,-10.8309988,-10.65256035,-10.44865747,-10.57157839,-10.78658706,-10.65750354,-10.46834632,-10.55546218,-10.77023331,-10.66247044,-10.46734122,-10.53339094,-10.77579476,-10.70886612,-10.52002944,-10.5789852,-10.82077953,-10.73446163,-10.51399647,-10.55815789,-10.81743046,-10.73398275,-10.43697984,-10.39469949,-10.61773722,-10.63020994,-10.37215271,-10.31910374,-10.55767575,-10.63870568,-10.3977903,-10.31338419,-10.53224631,-10.65197076,-10.41815019,-10.30338313,-10.51062012,-10.69652009,-10.48774862,-10.34536097,-10.51911346,-10.68356429,-10.46466797,-10.31767016,-10.47326109,-10.65292678,-10.48061113,-10.3365507,-10.451527,-10.60141663,-10.44109802,-10.30844097,-10.42657575,-10.60124268,-10.44644471,-10.28668826,-10.39810737,-10.61029881,-10.50272709,-10.367095,-10.48827997,-10.66669162,-10.50622232,-10.37430891,-10.49619699,-10.67951609,-10.50339531,-10.3479974,-10.46575202,-10.68269445,-10.53483851,-10.35297387,-10.43512901,-10.63644024,-10.52192406
0.21973,-10.63862636,-10.58534511,-10.67948188,-10.70903369,-10.56075274,-10.41878548,-10.41492975,-10.46139914,-10.45421761,-10.40235034,-10.42944078,-10.47767576,-10.44667932,-10.34279103,-10.31109174,-10.35609361,-10.39588119,-10.34754331,-10.33080055,-10.37419311,-10.39541409,-10.33686913,-10.30968147,-10.34538235,-10.37905042,-10.35166766,-10.3010697,-10.27935642,-10.3112451,-10.33532584,-10.30619889,-10.28287779,-10.33216457,-10.36581716,-10.3022393,-10.24869466,-10.28212985,-10.33361456,-10.29232701,-10.23121787,-10.24340544,-10.32581674,-10.32284035,-10.26560358,-10.27489989,-10.34981832,-10.30839942,-10.21370037,-10.19833933,-10.29394938,-10.31377832,-10.22913061,-10.19903481,-10.29880073,-10.37420613,-10.29871898,-10.22037886,-10.29521841,-10.39314387,-10.32585994,-10.22777332,-10.27369878,-10.37712478,-10.34474317,-10.24502626,-10.26602444,-10.3583981,-10.3329998,-10.20127713,-10.1704997,-10.26233162,-10.27940793,-10.18198212,-10.17611618,-10.33260909,-10.40123279,-10.25830984,-10.17410553,-10.25740949,-10.30190199,-10.18766914,-10.11950299,-10.2112457,-10.31538266,-10.2564951,-10.18355498,-10.24842661,-10.34690667,-10.28067563,-10.18331752,-10.21824691,-10.32613058,-10.28988871,-10.19527123,-10.2142759,-10.3263627,-10.30425157,-10.19948324,-10.19274846,-10.27992209
