,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
0.0,-0.784871637,-0.784865609,-0.784870041,-0.784578198,-0.783900462,-0.783025469,-0.782089539,-0.781066779,-0.780100558,-0.779157361,-0.778077494,-0.776709005,-0.775200965,-0.773593876,-0.772066407,-0.77069813,-0.769414717,-0.768132276,-0.766952205,-0.76590436,-0.764843731,-0.763729429,-0.762717409,-0.761922217,-0.761100523,-0.760120603,-0.758974278,-0.757931398,-0.756982613,-0.756083428,-0.75500054,-0.75374641,-0.752455771,-0.75119573,-0.749863256,-0.748482082,-0.747244003,-0.746206334,-0.745275948,-0.744300921,-0.743223254,-0.742103312,-0.741104597,-0.74013024,-0.739147188,-0.738242286,-0.737534051,-0.736902047,-0.736231957,-0.735511823,-0.734761968,-0.733909393,-0.732913022,-0.731801873,-0.730645311,-0.729397222,-0.728057094,-0.726651274,-0.725186192,-0.723681525,-0.722159266,-0.72071058,-0.719289474,-0.717833272,-0.716155068,-0.714404372,-0.712774415,-0.711237124,-0.709648508,-0.708075778,-0.70661146,-0.70513928,-0.703449495,-0.70165448,-0.700036635,-0.698609853,-0.697061683,-0.695170446,-0.693104147,-0.69112584,-0.689343674,-0.687638092,-0.68589488,-0.684207393,-0.682581982,-0.680968786,-0.679265005,-0.677509593,-0.675753968,-0.674016379,-0.672327821,-0.67070456,-0.669266176,-0.667966175,-0.666730037,-0.665513245,-0.664321465,-0.663242877,-0.662214383,-0.661046191,-0.659554828,-0.657899703,-0.656410766,-0.655114224,-0.653906728,-0.652640591,-0.651305431,-0.649850787,-0.648428315,-0.647128059,-0.645846394,-0.644539331,-0.643223149,-0.641946308,-0.640610528,-0.639235801,-0.637833777,-0.636434357,-0.635179937,-0.634281554,-0.633648066,-0.632992466,-0.632198116,-0.631397232,-0.63067938
0.024414,-1.477496555,-1.481998613,-1.480088958,-1.475891202,-1.477033693,-1.479706242,-1.47687782,-1.472222725,-1.472559088,-1.475409585,-1.473686937,-1.468836574,-1.467393879,-1.469146535,-1.467356833,-1.462427912,-1.461341708,-1.463809319,-1.462455636,-1.457598113,-1.456787426,-1.459581565,-1.458208361,-1.453239038,-1.453055396,-1.456615128,-1.455143597,-1.448922778,-1.447927911,-1.452324841,-1.452209341,-1.445702392,-1.442747852,-1.446454362,-1.447380133,-1.441132418,-1.436849818,-1.440297823,-1.442971712,-1.438122444,-1.433333725,-1.435647672,-1.438231951,-1.434288609,-1.429621814,-1.431189671,-1.434072914,-1.431502218,-1.427394058,-1.428386125,-1.431158008,-1.429011587,-1.424502049,-1.424357424,-1.426628826,-1.424766298,-1.41995784,-1.418865733,-1.42087529,-1.419249521,-1.414187365,-1.412407911,-1.414589025,-1.41388304,-1.409111395,-1.406055806,-1.406928295,-1.406934535,-1.403306326,-1.399902998,-1.400109438,-1.400881171,-1.398169254,-1.393796596,-1.392334288,-1.393458,-1.392684621,-1.388835145,-1.385467456,-1.384709225,-1.384057366,-1.38148695,-1.37882114,-1.377731584,-1.377053165,-1.375032786,-1.372594089,-1.371102819,-1.369975433,-1.367971086,-1.365562155,-1.364107582,-1.363128019,-1.361781743,-1.360257975,-1.359193449,-1.358285031,-1.356856941,-1.355675139,-1.355320684,-1.354481922,-1.351656488,-1.348642626,-1.348325364,-1.348965589,-1.347196633,-1.344025205,-1.34304552,-1.343130345,-1.341248658,-1.338661659,-1.337958519,-1.33794606,-1.336042511,-1.3335888,-1.332729226,-1.3324488,-1.330526922,-1.327765023,-1.326802257,-1.327916061,-1.328139632,-1.32592561,-1.323847235,-1.324245907
0.048828,-9.837380006,-9.874589021,-9.966605616,-9.940776414,-9.848407854,-9.847992176,-9.939472234,-9.949256456,-9.856998063,-9.793715742,-9.782945131,-9.775533637,-9.728255661,-9.723888888,-9.771896102,-9.794941704,-9.741135508,-9.721341292,-9.76889594,-9.790907663,-9.733378902,-9.685751888,-9.70204211,-9.709562245,-9.693354526,-9.690880614,-9.742200157,-9.781439953,-9.761498645,-9.722658305,-9.755529746,-9.805843939,-9.805508531,-9.760219988,-9.777326237,-9.819966853,-9.813015973,-9.760566564,-9.772581334,-9.826684168,-9.834863125,-9.771800741,-9.75526953,-9.785941219,-9.810483604,-9.775699151,-9.765391057,-9.792527447,-9.84127883,-9.834472578,-9.818776786,-9.82835194,-9.881953778,-9.888506982,-9.840516636,-9.820490896,-9.877140144,-9.903669649,-9.854074092,-9.821926237,-9.869223947,-9.910554516,-9.868373302,-9.838306357,-9.92059996,-10.06526806,-10.04409992,-9.934312344,-9.938685318,-10.04604217,-10.0546613,-10.00108156,-10.04244575,-10.16829819,-10.14495539,-10.0132061,-9.98543662,-10.12254064,-10.17925873,-10.13740087,-10.10663896,-10.1971987,-10.20954221,-10.14117166,-10.10541556,-10.18583041,-10.21588193,-10.13760276,-10.07896708,-10.16548885,-10.21576902,-10.17175634,-10.14333248,-10.24243266,-10.3154539,-10.22193829,-10.14429729,-10.21512641,-10.30466909,-10.22473711,-10.12570838,-10.16869165,-10.2465103,-10.16483737,-10.06004564,-10.09250101,-10.21368517,-10.17582451,-10.07706824,-10.09547037,-10.23520565,-10.21325767,-10.09341495,-10.08020031,-10.2130663,-10.2063703,-10.10277669,-10.07096829,-10.20526834,-10.23451149,-10.17584328,-10.13363435,-10.17488009,-10.24611005,-10.29322004
0.073242,-10.3501885,-10.39611595,-10.53355023,-10.52393919,-10.38455615,-10.38375443,-10.55960639,-10.55381336,-10.35542297,-10.31258932,-10.38609321,-10.33048813,-10.16780201,-10.15220538,-10.27982584,-10.30526017,-10.16033344,-10.12944515,-10.26088971,-10.33454829,-10.2187487,-10.13278562,-10.17180984,-10.23014342,-10.17395435,-10.13538448,-10.17636619,-10.23435084,-10.17632929,-10.13237304,-10.16417378,-10.23174707,-10.19865037,-10.14158052,-10.15253818,-10.23605185,-10.23664243,-10.16875031,-10.15371679,-10.21577657,-10.22129401,-10.15096129,-10.11506735,-10.16221065,-10.18026966,-10.12712477,-10.10153065,-10.16104497,-10.19185944,-10.14430194,-10.12817729,-10.20433609,-10.23822031,-10.1766632,-10.1534917,-10.2237294,-10.2620428,-10.19974571,-10.1656821,-10.22241786,-10.26782567,-10.211614,-10.17539783,-10.22245247,-10.30939369,-10.32178732,-10.29944211,-10.27813828,-10.31290981,-10.32116981,-10.29617502,-10.27327258,-10.31103084,-10.31265644,-10.27161424,-10.26152612,-10.35645796,-10.38703962,-10.35341026,-10.30259433,-10.33667544,-10.37391841,-10.36839986,-10.31906349,-10.33947949,-10.37820689,-10.37356056,-10.32299823,-10.31863347,-10.34913083,-10.37237888,-10.34098737,-10.32251854,-10.32992349,-10.34922959,-10.35973526,-10.34207402,-10.3353255,-10.35357854,-10.37535305,-10.34284619,-10.31800755,-10.34910618,-10.39562858,-10.35412634,-10.28077302,-10.30660765,-10.39541672,-10.3964316,-10.32598881,-10.31244254,-10.38110314,-10.40713295,-10.32711422,-10.29900777,-10.35819727,-10.39615903,-10.32977642,-10.31285686,-10.39119364,-10.50394384,-10.44310191,-10.3607666,-10.39325228,-10.49149928
0.097656,-10.39188142,-10.35161653,-10.29967173,-10.30153564,-10.30750173,-10.25890746,-10.26124554,-10.26310065,-10.27543113,-10.23477442,-10.27178916,-10.31634502,-10.31276617,-10.23631207,-10.21876005,-10.26672357,-10.29332487,-10.22963258,-10.22169583,-10.28679305,-10.32567337,-10.27520094,-10.23844283,-10.24657186,-10.27211585,-10.23918352,-10.20145537,-10.21282037,-10.28781669,-10.28267221,-10.23508936,-10.24872105,-10.31804106,-10.30133407,-10.22920638,-10.23294291,-10.30924123,-10.31846803,-10.24236919,-10.23638322,-10.31657858,-10.36567784,-10.29989279,-10.2684934,-10.34938204,-10.41988767,-10.33399804,-10.27304915,-10.33856256,-10.42841763,-10.35974448,-10.28594351,-10.32872737,-10.42016708,-10.36247749,-10.28070433,-10.3060162,-10.40658259,-10.36518242,-10.27618409,-10.29634151,-10.4128556,-10.39341024,-10.31460419,-10.33176009,-10.43637737,-10.44446824,-10.41268387,-10.41511747,-10.47236115,-10.439358,-10.34560102,-10.29866921,-10.35398871,-10.3929019,-10.38052643,-10.36096363,-10.4831769,-10.55864831,-10.46298301,-10.3585014,-10.43504537,-10.53349032,-10.46102096,-10.35166169,-10.406283,-10.49848718,-10.44304731,-10.34592706,-10.40049322,-10.50575341,-10.49688235,-10.32584279,-10.23796044,-10.2673975,-10.29929996,-10.23691764,-10.21231348,-10.27505613,-10.32329,-10.26437713,-10.21528065,-10.26578949,-10.3151211,-10.26870932,-10.21344443,-10.26449905,-10.32788606,-10.30376685,-10.22628034,-10.25759873,-10.32621833,-10.33600943,-10.2666127,-10.28955519,-10.34311159,-10.34717216,-10.27939741,-10.30991911,-10.36714964,-10.41400267,-10.33878387,-10.29143557,-10.30616563,-10.37988689
0.12207,-10.71627639,-10.5566902,-10.46316619,-10.57204402,-10.59398591,-10.41849274,-10.36102115,-10.52831768,-10.58646668,-10.38131476,-10.28692148,-10.44863657,-10.56975719,-10.37699394,-10.25182088,-10.40879682,-10.5754206,-10.40783369,-10.27128468,-10.40258901,-10.57234552,-10.42768352,-10.27278077,-10.36667371,-10.51567629,-10.36658932,-10.20725803,-10.3104462,-10.50382793,-10.40651863,-10.2356249,-10.28285004,-10.46537678,-10.4297876,-10.26803252,-10.28214171,-10.44991541,-10.44174783,-10.28044036,-10.27646978,-10.43722787,-10.46501249,-10.33784274,-10.36950395,-10.53092147,-10.53097261,-10.35072886,-10.34595861,-10.48640821,-10.51250411,-10.34484798,-10.32870081,-10.46797883,-10.51065755,-10.32895571,-10.29568014,-10.44867497,-10.53826767,-10.36820463,-10.3064933,-10.45501921,-10.56083181,-10.38408747,-10.31356872,-10.4625869,-10.58893389,-10.44400694,-10.38857646,-10.53534802,-10.62565356,-10.44741214,-10.38545221,-10.55154163,-10.66646325,-10.49530709,-10.42417991,-10.58623451,-10.70056365,-10.55749508,-10.49576837,-10.64453232,-10.70642732,-10.51660781,-10.39915041,-10.52420655,-10.58619876,-10.4490196,-10.34828572,-10.4889395,-10.58114107,-10.48644408,-10.3990604,-10.53916099,-10.56548328,-10.38672817,-10.28762175,-10.43805654,-10.54393434,-10.44095118,-10.33352567,-10.45871347,-10.56270676,-10.46417523,-10.34276357,-10.44459528,-10.55761976,-10.47808812,-10.36523527,-10.43752756,-10.5221495,-10.44804764,-10.36969651,-10.44608606,-10.52990984,-10.45861324,-10.37450297,-10.42859256,-10.54400443,-10.57200593,-10.57349849,-10.56864445,-10.57572584,-10.55175811,-10.56005558,-10.57266237
0.14648,-10.56510583,-10.47775816,-10.32481386,-10.38823783,-10.47926892,-10.3890163,-10.26074362,-10.33474311,-10.46030098,-10.38074901,-10.21729509,-10.26563985,-10.41896821,-10.38403584,-10.20606553,-10.22872642,-10.39830321,-10.42185173,-10.26345747,-10.25977904,-10.41373544,-10.41863715,-10.24745788,-10.24407549,-10.38346107,-10.38242915,-10.21573191,-10.22491579,-10.39668341,-10.43017748,-10.25509287,-10.22477831,-10.38106456,-10.43799838,-10.27468537,-10.21662248,-10.35102121,-10.42639949,-10.28475239,-10.19942284,-10.31384699,-10.41891448,-10.32670162,-10.245862,-10.35932644,-10.45790652,-10.3584794,-10.2655041,-10.36245855,-10.43698031,-10.34363206,-10.256146,-10.34352009,-10.41999429,-10.34879562,-10.24555009,-10.30757979,-10.39046339,-10.3560914,-10.268353,-10.32164779,-10.41271931,-10.39223186,-10.29334944,-10.33893564,-10.45606097,-10.47147898,-10.37506422,-10.4085203,-10.5226404,-10.52609398,-10.40835623,-10.40557835,-10.48756629,-10.48638477,-10.41526443,-10.43130725,-10.51224397,-10.5299527,-10.5102609,-10.54482297,-10.57492039,-10.50276409,-10.42686635,-10.4524068,-10.55213905,-10.50639633,-10.41784884,-10.4312381,-10.55232707,-10.51610641,-10.44382457,-10.44897132,-10.55957022,-10.52770434,-10.45146578,-10.45562926,-10.56113753,-10.56982107,-10.51664414,-10.48369123,-10.54694114,-10.55660778,-10.52262607,-10.49871996,-10.57144895,-10.60760802,-10.53833941,-10.43631128,-10.4583008,-10.52272398,-10.5234079,-10.45989443,-10.47052594,-10.52757048,-10.53059575,-10.46772037,-10.46244742,-10.54510306,-10.58881165,-10.58534137,-10.55878072,-10.58829306,-10.62258891,-10.63802556
0.1709,-10.28942397,-10.37890731,-10.3656088,-10.28293334,-10.25634402,-10.30295195,-10.340466,-10.30177492,-10.28867912,-10.33521014,-10.38092652,-10.31922987,-10.28567065,-10.3260229,-10.36424969,-10.28941475,-10.27400725,-10.32853754,-10.37419226,-10.3295603,-10.35582559,-10.44993834,-10.45005202,-10.29830449,-10.29296073,-10.41306252,-10.47636806,-10.35817903,-10.33210554,-10.45242167,-10.50732462,-10.36101563,-10.29571745,-10.38899293,-10.478008,-10.38406885,-10.29247846,-10.32465813,-10.37121737,-10.28605075,-10.22912045,-10.28873125,-10.35579971,-10.29384172,-10.24335131,-10.30698169,-10.34877675,-10.27456633,-10.21700348,-10.26566495,-10.29983227,-10.23790392,-10.19083081,-10.25103589,-10.29923289,-10.23834276,-10.16729756,-10.20868187,-10.24811817,-10.18347492,-10.1146205,-10.15327719,-10.21104047,-10.20033927,-10.15848533,-10.17070452,-10.21596711,-10.24639357,-10.24069106,-10.22972068,-10.2251277,-10.21766325,-10.18396549,-10.15841412,-10.1850393,-10.22383745,-10.2226118,-10.19947578,-10.22172489,-10.26988554,-10.29355464,-10.25479921,-10.20804573,-10.22972028,-10.28710961,-10.28005165,-10.24836117,-10.28181142,-10.33857406,-10.31691168,-10.27693435,-10.2885385,-10.31707199,-10.29920781,-10.26876432,-10.2831147,-10.30618265,-10.2992064,-10.2792794,-10.30042315,-10.33374817,-10.32432854,-10.28267987,-10.28626509,-10.31993329,-10.32580132,-10.28910114,-10.26463785,-10.25881722,-10.2655059,-10.26099149,-10.25827484,-10.26474105,-10.27217866,-10.24947866,-10.24338558,-10.27296546,-10.290515,-10.26088391,-10.25107876,-10.27422513,-10.26744345,-10.22626091,-10.22430595,-10.26895913
0.19531,-10.33392023,-10.38184129,-10.55421965,-10.45868757,-10.26709232,-10.30521488,-10.50379327,-10.47483735,-10.28653698,-10.29614271,-10.49123446,-10.5036238,-10.28265427,-10.21174564,-10.35625683,-10.40922664,-10.2245356,-10.14914262,-10.28650886,-10.43498707,-10.40845891,-10.35919332,-10.39427456,-10.43059789,-10.3867539,-10.37444307,-10.40603597,-10.43069626,-10.4035091,-10.41015544,-10.42711656,-10.42726826,-10.37971734,-10.37951088,-10.40403413,-10.40473903,-10.33108825,-10.25566848,-10.20727541,-10.22400651,-10.23878082,-10.25612266,-10.24008714,-10.2605158,-10.27257218,-10.27002752,-10.22812043,-10.23616483,-10.27107292,-10.2989942,-10.21839445,-10.15550522,-10.18315182,-10.27595747,-10.25985913,-10.18005271,-10.17841736,-10.27687981,-10.27572474,-10.15725885,-10.1129901,-10.2266738,-10.31497559,-10.24278677,-10.18281153,-10.27119447,-10.36127359,-10.29772633,-10.22555118,-10.2932359,-10.36798395,-10.26687825,-10.13432829,-10.15675444,-10.26522114,-10.24861909,-10.13231359,-10.12540615,-10.23498041,-10.24204584,-10.12070592,-10.08697865,-10.20782045,-10.24807088,-10.1471527,-10.10413762,-10.21186633,-10.25650284,-10.17775517,-10.14468704,-10.24684982,-10.27836072,-10.17932454,-10.13046563,-10.25118403,-10.3055338,-10.1963567,-10.12626324,-10.2443699,-10.31211479,-10.21493667,-10.13252135,-10.23951285,-10.31873378,-10.22601227,-10.13564052,-10.23889889,-10.31464745,-10.20487553,-10.09835469,-10.20116707,-10.31349987,-10.22305324,-10.10792363,-10.19316954,-10.321746,-10.25656224,-10.14557868,-10.21438027,-10.34808507,-10.28729593,-10.15158568,-10.16120566,-10.274215,-10.25316809
0.21973,-10.24143722,-10.13063643,-10.14607003,-10.28005263,-10.24709666,-10.10956114,-10.10166305,-10.23835286,-10.23895949,-10.11263285,-10.09902668,-10.23577186,-10.25377407,-10.11541275,-10.07630697,-10.22061317,-10.27211575,-10.12513216,-10.06623871,-10.25497621,-10.4444765,-10.34327372,-10.22666828,-10.32533824,-10.45657993,-10.3512324,-10.24161898,-10.37706109,-10.59068213,-10.50644554,-10.31859721,-10.37687743,-10.58734955,-10.53782527,-10.3344727,-10.35148404,-10.53757284,-10.48546505,-10.25027115,-10.21614412,-10.43128386,-10.50112121,-10.31870835,-10.24885301,-10.42440604,-10.49429039,-10.30196239,-10.21693404,-10.41121009,-10.54963881,-10.362435,-10.20087423,-10.31024765,-10.43812082,-10.32036347,-10.16777548,-10.23693021,-10.34904253,-10.25898578,-10.12283443,-10.20990539,-10.39951066,-10.34996492,-10.19160023,-10.21931834,-10.35671406,-10.32152595,-10.18321178,-10.20868263,-10.32946175,-10.31413387,-10.18264547,-10.16661266,-10.22517757,-10.22215137,-10.15790432,-10.16840756,-10.20611115,-10.18170197,-10.082105,-10.04065541,-10.10143912,-10.14759896,-10.13639891,-10.11307639,-10.15844895,-10.19014283,-10.16628628,-10.12737526,-10.1585313,-10.17282694,-10.16062393,-10.14916646,-10.23093206,-10.25604446,-10.20114104,-10.15180448,-10.22010186,-10.23048638,-10.18484515,-10.13555387,-10.20499588,-10.22958398,-10.2013275,-10.16008373,-10.23184528,-10.25205733,-10.21136934,-10.14954579,-10.20448318,-10.22881002,-10.19312704,-10.13768542,-10.20488174,-10.27842903,-10.28681742,-10.23402725,-10.23784543,-10.26999821,-10.28960986,-10.26024155,-10.2539668,-10.26913926,-10.26705469,-10.23339796
