,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0.0,-0.630070188,-0.629550651,-0.628984114,-0.62818679,-0.62710284,-0.625784313,-0.62437734,-0.622904817,-0.621384197,-0.619856675,-0.618365065,-0.616936624,-0.615428683,-0.61383012,-0.612243508,-0.610806158,-0.609495392,-0.608120533,-0.606648723,-0.605132826,-0.603707712,-0.602354876,-0.601022042,-0.599692502,-0.598291084,-0.596823293,-0.595208713,-0.593435615,-0.591509365,-0.589550527,-0.587719219,-0.586097886,-0.584590957,-0.583107703,-0.581548306,-0.579947222,-0.57827204,-0.576581324,-0.574913704,-0.573312146,-0.571816403,-0.57044699,-0.569150988,-0.567814273,-0.566361479,-0.564921198,-0.563494474,-0.562103432,-0.560710556,-0.559351627,-0.558015158,-0.556753263,-0.555543948,-0.554250103,-0.55286273,-0.551435131
0.024414,-1.324941021,-1.32343327,-1.321837962,-1.322399524,-1.322564313,-1.319808151,-1.316713522,-1.316521568,-1.31673564,-1.313915765,-1.310490539,-1.310190564,-1.311042555,-1.308490013,-1.304219179,-1.303239251,-1.304718722,-1.303517436,-1.299341106,-1.297355739,-1.29829162,-1.297594016,-1.294069523,-1.291996269,-1.292905472,-1.292332489,-1.288652664,-1.285892859,-1.285940362,-1.284810043,-1.28066417,-1.277867758,-1.278806922,-1.278893312,-1.275218793,-1.271845907,-1.272239439,-1.272316754,-1.26858511,-1.264992253,-1.265334718,-1.266021236,-1.26314752,-1.259951492,-1.260123807,-1.260346632,-1.257381534,-1.254191497,-1.254298749,-1.254766342,-1.252053811,-1.248756914,-1.248849169,-1.250006223,-1.247495646,-1.24342426
0.048828,-10.37889538,-10.43820704,-10.39444446,-10.26916475,-10.21681074,-10.30009468,-10.35321682,-10.2500817,-10.2115195,-10.29678972,-10.3959252,-10.37668477,-10.34710056,-10.34454667,-10.4022093,-10.37868977,-10.34378296,-10.32825848,-10.3733429,-10.36072572,-10.3357108,-10.31807465,-10.36715598,-10.37227004,-10.34089979,-10.31084494,-10.35949581,-10.38162519,-10.36293017,-10.33632628,-10.35460719,-10.37964947,-10.36847897,-10.35218353,-10.34956323,-10.36859882,-10.36010203,-10.36278046,-10.35948108,-10.35992867,-10.32053584,-10.34896245,-10.36045165,-10.38569762,-10.33070721,-10.35627221,-10.35880139,-10.39119902,-10.32040837,-10.33821916,-10.34470091,-10.38197926,-10.31583562,-10.31102347,-10.29159594,-10.37085164
0.073242,-10.62194443,-10.63972531,-10.55572201,-10.51741431,-10.46193116,-10.39158149,-10.45587279,-10.51074347,-10.48879185,-10.38996728,-10.46143523,-10.55298069,-10.50640914,-10.40415096,-10.43592376,-10.55413054,-10.54690602,-10.41577787,-10.44564671,-10.57072233,-10.56222545,-10.4129278,-10.41737828,-10.54514922,-10.54655967,-10.39772284,-10.37887891,-10.47925371,-10.53042407,-10.43211359,-10.3835928,-10.46069313,-10.50387175,-10.43870846,-10.40656388,-10.49138037,-10.53625861,-10.46638343,-10.40737707,-10.47098348,-10.52685928,-10.47681559,-10.39521101,-10.44928905,-10.51350103,-10.49002915,-10.37997025,-10.37859837,-10.41830715,-10.43443432,-10.36999259,-10.3819559,-10.41084794,-10.42781545,-10.3700264,-10.39443709
0.097656,-10.35660215,-10.29995459,-10.30390618,-10.42312479,-10.42980674,-10.34356471,-10.31126688,-10.40478801,-10.44326813,-10.36214686,-10.32055234,-10.40557488,-10.46243487,-10.39034125,-10.36276446,-10.45622519,-10.53717684,-10.46319341,-10.40434421,-10.4494585,-10.53481424,-10.45426867,-10.3789014,-10.43087059,-10.55165191,-10.47593087,-10.35724698,-10.36762126,-10.51605277,-10.50142733,-10.36506406,-10.32418444,-10.46090885,-10.49105997,-10.36659159,-10.29042374,-10.43314183,-10.49570787,-10.36942148,-10.27610401,-10.41010514,-10.50320579,-10.38918976,-10.27417775,-10.37229976,-10.44161866,-10.3013677,-10.17646469,-10.29445098,-10.43919445,-10.33603341,-10.19418099,-10.27748462,-10.41438535,-10.32376755,-10.18289788
0.12207,-10.58924487,-10.56582838,-10.57332122,-10.56258818,-10.56003474,-10.53545085,-10.56340046,-10.56263476,-10.5576733,-10.53559773,-10.55787988,-10.55859643,-10.54133235,-10.52269103,-10.56848483,-10.65153153,-10.68506333,-10.57160508,-10.56277785,-10.62429555,-10.66076625,-10.55150942,-10.52870207,-10.60259277,-10.57989681,-10.46938289,-10.45411866,-10.55820532,-10.57684007,-10.48198144,-10.4311713,-10.51569938,-10.54309655,-10.4713234,-10.42267036,-10.48715296,-10.50077866,-10.48274553,-10.44707321,-10.49627882,-10.50161326,-10.47929615,-10.45904993,-10.5216467,-10.51810311,-10.45993101,-10.35084027,-10.33607857,-10.39268747,-10.43293239,-10.36875627,-10.3180266,-10.34784307,-10.3778545,-10.30670232,-10.23194621
0.14648,-10.61951498,-10.62110468,-10.59539353,-10.58921244,-10.57953477,-10.58141943,-10.56249361,-10.56669762,-10.56436835,-10.56161194,-10.57223189,-10.60468482,-10.57041883,-10.51837014,-10.56315991,-10.69164649,-10.67775095,-10.56517959,-10.55478739,-10.65994435,-10.68119421,-10.59647441,-10.56593063,-10.6477376,-10.67790359,-10.55793518,-10.45785751,-10.51976595,-10.62334067,-10.55801252,-10.46105407,-10.47866749,-10.54804812,-10.4997704,-10.42900373,-10.46583335,-10.53828282,-10.46970895,-10.39752728,-10.44910065,-10.51456831,-10.4615614,-10.39952212,-10.44918547,-10.52276381,-10.48439702,-10.40592461,-10.43052475,-10.4925917,-10.48330465,-10.39508225,-10.40329078,-10.47388534,-10.50248537,-10.4211381,-10.39423731
0.1709,-10.28823987,-10.25139295,-10.21736563,-10.26914887,-10.33606563,-10.30530862,-10.20817243,-10.21424505,-10.29982818,-10.3283876,-10.2672688,-10.28075404,-10.35940723,-10.38189166,-10.3159793,-10.3248593,-10.39612967,-10.41571437,-10.32442047,-10.2978675,-10.3531868,-10.38717748,-10.32701938,-10.31379503,-10.34340576,-10.31673042,-10.22225398,-10.22957091,-10.34990861,-10.4075662,-10.29523397,-10.24640244,-10.3260689,-10.37522351,-10.30058591,-10.26173719,-10.34556198,-10.4095357,-10.34264181,-10.28302975,-10.36978348,-10.4335068,-10.36776731,-10.29185284,-10.36446734,-10.43267929,-10.38175654,-10.31895072,-10.43169223,-10.54062076,-10.47793207,-10.3707512,-10.45066899,-10.54864631,-10.46842768,-10.3227646
0.19531,-10.13712248,-10.15257225,-10.32432925,-10.36603663,-10.233762,-10.20474206,-10.35841463,-10.41484092,-10.30226918,-10.26006598,-10.37118976,-10.39019847,-10.27100612,-10.21862606,-10.33069221,-10.36713547,-10.27123851,-10.21146347,-10.30175256,-10.34521411,-10.26656783,-10.22073112,-10.31282914,-10.35236861,-10.2548001,-10.20169781,-10.31697457,-10.4591118,-10.4269436,-10.33747449,-10.37509988,-10.46619683,-10.40749887,-10.29507125,-10.30381373,-10.42653053,-10.43035258,-10.32430448,-10.28511211,-10.39178571,-10.46915304,-10.44135645,-10.35685349,-10.38867718,-10.4331922,-10.40317213,-10.32149664,-10.33581542,-10.41101735,-10.46177184,-10.41407909,-10.38666185,-10.4015635,-10.40539977,-10.33698384,-10.31632007
0.21973,-10.22852318,-10.27862224,-10.30400994,-10.29005841,-10.25267888,-10.26632,-10.29535731,-10.32933776,-10.30568062,-10.30218134,-10.29707872,-10.31108643,-10.26190589,-10.25259087,-10.26539919,-10.31277957,-10.28074441,-10.24962518,-10.24304364,-10.29149404,-10.29093656,-10.26025813,-10.23274167,-10.26200019,-10.27857201,-10.28819492,-10.29636353,-10.33804298,-10.37775741,-10.38974588,-10.35434751,-10.34232656,-10.33313334,-10.30384044,-10.2726627,-10.31123832,-10.36328267,-10.32365202,-10.2486815,-10.25817905,-10.33903862,-10.35734511,-10.31652745,-10.31016609,-10.33838287,-10.33088387,-10.28627542,-10.29202803,-10.35670085,-10.35953175,-10.2927952,-10.26145268,-10.30742888,-10.3409642,-10.31859147,-10.28560708
