,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0.0,-0.549923657,-0.548321218,-0.546623174,-0.544856646,-0.543073908,-0.541470875,-0.540083526,-0.53876788,-0.53734331,-0.535816935,-0.534359347,-0.533070649,-0.531768998,-0.530257699,-0.528598594,-0.52691653,-0.52525943,-0.523661594,-0.522145122,-0.520655504,-0.519251327,-0.518043524,-0.516918158,-0.515738117,-0.514517115,-0.513350368,-0.512101788,-0.510719574,-0.50921851,-0.507757665,-0.506360065,-0.504936089,-0.503414656,-0.501930697,-0.500609984,-0.499340728,-0.497967496,-0.496550857,-0.495173515,-0.493849326,-0.492588387,-0.491393446,-0.490195793,-0.488921681,-0.487599623,-0.486280755,-0.484947207
0.024414,-1.24295661,-1.244094957,-1.241540614,-1.236915086,-1.235658509,-1.236483879,-1.234634562,-1.231216691,-1.230549015,-1.231167522,-1.228680425,-1.22493503,-1.224936075,-1.226462503,-1.223562722,-1.218451831,-1.217678668,-1.219495414,-1.217276189,-1.212445805,-1.211369647,-1.213278257,-1.212308123,-1.20834839,-1.206746443,-1.20812424,-1.20774308,-1.204009596,-1.201448047,-1.201890394,-1.201610779,-1.19857484,-1.195999681,-1.195741223,-1.195249572,-1.193071397,-1.191193139,-1.190526237,-1.189499385,-1.187400623,-1.185712366,-1.185275402,-1.184729647,-1.182902361,-1.180823147,-1.179904332,-1.179391129
0.048828,-10.32962771,-10.30904717,-10.273093,-10.35576715,-10.40526653,-10.39956035,-10.37583433,-10.49496378,-10.5653894,-10.52193082,-10.41502268,-10.51135663,-10.59704846,-10.51921273,-10.40250216,-10.53698023,-10.63661438,-10.54101336,-10.38713302,-10.51180524,-10.67482332,-10.57047147,-10.44135032,-10.50314208,-10.63333582,-10.54232323,-10.39018457,-10.41946095,-10.59487131,-10.57853601,-10.39800542,-10.38613578,-10.5886029,-10.63750611,-10.47701688,-10.45135084,-10.61194867,-10.62806367,-10.47599143,-10.43846746,-10.58117229,-10.628842,-10.48859529,-10.42574322,-10.55417759,-10.63231393,-10.50450435
0.073242,-10.41189754,-10.42389345,-10.37483999,-10.42643637,-10.5022307,-10.50671286,-10.40456298,-10.40273565,-10.4979759,-10.51569572,-10.40752271,-10.36332031,-10.45593633,-10.49288263,-10.40613279,-10.32304262,-10.40025601,-10.45029313,-10.38299718,-10.29451189,-10.37202172,-10.47589451,-10.48897743,-10.40197482,-10.44857981,-10.52094052,-10.51474823,-10.43742886,-10.5013141,-10.57619305,-10.5473139,-10.44749353,-10.50989878,-10.58680227,-10.54486663,-10.42735837,-10.49648839,-10.62571705,-10.59459616,-10.44313526,-10.43804637,-10.49027033,-10.50394548,-10.43372545,-10.4360257,-10.49866954,-10.50599114
0.097656,-10.24939991,-10.40347348,-10.33851507,-10.20625219,-10.27289061,-10.44902564,-10.3884061,-10.22187647,-10.23006621,-10.40324176,-10.38388501,-10.23709431,-10.22815882,-10.40800096,-10.40929831,-10.25325708,-10.2010012,-10.37992695,-10.42074218,-10.26049962,-10.18979462,-10.36074265,-10.43365371,-10.29522808,-10.21686224,-10.38999429,-10.49118106,-10.39642176,-10.32222242,-10.43698033,-10.52169567,-10.42343465,-10.32358155,-10.41919308,-10.51383479,-10.41134325,-10.30234326,-10.42396311,-10.57943882,-10.44846649,-10.26568635,-10.3554106,-10.55642073,-10.48811382,-10.29267836,-10.33198022,-10.51288809
0.12207,-10.27156104,-10.35365116,-10.32667654,-10.25123706,-10.2643223,-10.29906857,-10.28424761,-10.25402368,-10.29953616,-10.33636554,-10.30923726,-10.26415162,-10.30118423,-10.32999778,-10.29655608,-10.26973777,-10.35470857,-10.40875401,-10.36324556,-10.31456203,-10.35100988,-10.38334782,-10.35528414,-10.31574159,-10.34025082,-10.36533901,-10.35383086,-10.33405838,-10.33854083,-10.32290923,-10.30284331,-10.31797046,-10.3377663,-10.32440282,-10.27681904,-10.24782543,-10.2532937,-10.26465764,-10.252049,-10.24822694,-10.25759037,-10.2585137,-10.25834415,-10.28552868,-10.29679394,-10.26318325,-10.23885055
0.14648,-10.42196062,-10.46323256,-10.42792912,-10.39747383,-10.38708625,-10.42032029,-10.43595115,-10.43643623,-10.40259599,-10.39849238,-10.42309432,-10.4451548,-10.39978928,-10.37085287,-10.39135964,-10.44695393,-10.47842713,-10.4857016,-10.45750928,-10.43606242,-10.45820051,-10.48590006,-10.46930582,-10.42220611,-10.44570762,-10.49310279,-10.51740408,-10.46561742,-10.43081379,-10.42326582,-10.46301706,-10.45964193,-10.44391903,-10.40442055,-10.39894043,-10.35895788,-10.35073211,-10.37191753,-10.40659393,-10.34910193,-10.33307109,-10.38017547,-10.44373955,-10.39438485,-10.3707957,-10.39287939,-10.44301226
0.1709,-10.3692737,-10.4775227,-10.44439264,-10.31536292,-10.35035246,-10.48302327,-10.50976278,-10.38553477,-10.38029526,-10.49850297,-10.53314456,-10.39977361,-10.37043712,-10.49407225,-10.57298291,-10.48730732,-10.43903058,-10.5074608,-10.54518351,-10.45941919,-10.40271622,-10.48083735,-10.53462463,-10.46348018,-10.40491317,-10.50863268,-10.59756751,-10.52119112,-10.40790699,-10.47387635,-10.57155906,-10.53868959,-10.41795245,-10.45861926,-10.54302442,-10.51036537,-10.39484775,-10.43761486,-10.53586381,-10.5100389,-10.3620812,-10.37862799,-10.4993018,-10.50734851,-10.367853,-10.37603294,-10.50686304
0.19531,-10.35800312,-10.39015119,-10.33957783,-10.31843403,-10.37864309,-10.47095611,-10.50132308,-10.49608868,-10.52301871,-10.54377931,-10.54427143,-10.53336346,-10.53588458,-10.56746992,-10.64731271,-10.68476642,-10.64352907,-10.59819893,-10.6476927,-10.65968267,-10.58324879,-10.50587199,-10.54710144,-10.6066444,-10.61181796,-10.54587079,-10.53417211,-10.5138347,-10.48888941,-10.47727341,-10.51603946,-10.51579171,-10.49809821,-10.48833446,-10.50106305,-10.50562888,-10.5069374,-10.49301125,-10.46918509,-10.45482074,-10.44248551,-10.45125489,-10.479523,-10.48333087,-10.45217388,-10.45561899,-10.49846908
0.21973,-10.32542709,-10.36295591,-10.34586687,-10.30280972,-10.32670606,-10.37288375,-10.41583069,-10.41796867,-10.39746272,-10.38417318,-10.41637683,-10.4681195,-10.50951179,-10.54757184,-10.57148728,-10.55887858,-10.54538741,-10.54344966,-10.56696217,-10.55388998,-10.52773042,-10.51108877,-10.53214697,-10.53339927,-10.52861217,-10.50733829,-10.46069923,-10.39643205,-10.39931126,-10.42132421,-10.40902872,-10.36193933,-10.35326701,-10.34504055,-10.33777041,-10.30405084,-10.30873311,-10.33590737,-10.35138841,-10.32159181,-10.32671219,-10.35829692,-10.36953362,-10.33600745,-10.34323387,-10.37604642,-10.37610964
